depth,has_depth,has_metadata,has_point_cloud,has_rgb,id,metadata_depth,metadata_point_cloud,metadata_rgb,metadata_timestamp,point_cloud,rgb
depth_0000.png,1,0,1,1,0,,,,,point_cloud_0000.ply,rgb_0000.png
depth_0001.png,1,0,1,1,1,,,,,point_cloud_0001.ply,rgb_0001.png
depth_0002.png,1,0,1,1,2,,,,,point_cloud_0002.ply,rgb_0002.png
depth_0003.png,1,0,1,1,3,,,,,point_cloud_0003.ply,rgb_0003.png
depth_0004.png,1,0,1,1,4,,,,,point_cloud_0004.ply,rgb_0004.png
depth_0005.png,1,0,1,1,5,,,,,point_cloud_0005.ply,rgb_0005.png
depth_0006.png,1,0,1,1,6,,,,,point_cloud_0006.ply,rgb_0006.png
depth_0007.png,1,0,1,1,7,,,,,point_cloud_0007.ply,rgb_0007.png
depth_0008.png,1,0,1,1,8,,,,,point_cloud_0008.ply,rgb_0008.png
depth_0009.png,1,0,1,1,9,,,,,point_cloud_0009.ply,rgb_0009.png
depth_0010.png,1,1,1,1,10,depth_0010.png,point_cloud_0010.ply,rgb_0010.png,1730507897280,point_cloud_0010.ply,rgb_0010.png
depth_0011.png,1,1,1,1,11,depth_0011.png,point_cloud_0011.ply,rgb_0011.png,1730507914253,point_cloud_0011.ply,rgb_0011.png
depth_0012.png,1,1,1,1,12,depth_0012.png,point_cloud_0012.ply,rgb_0012.png,1730507933861,point_cloud_0012.ply,rgb_0012.png
depth_0013.png,1,1,1,1,13,depth_0013.png,point_cloud_0013.ply,rgb_0013.png,1730507946400,point_cloud_0013.ply,rgb_0013.png
depth_0014.png,1,1,1,1,14,depth_0014.png,point_cloud_0014.ply,rgb_0014.png,1730507965408,point_cloud_0014.ply,rgb_0014.png
depth_0015.png,1,1,1,1,15,depth_0015.png,point_cloud_0015.ply,rgb_0015.png,1730507994828,point_cloud_0015.ply,rgb_0015.png
depth_0016.png,1,1,1,1,16,depth_0016.png,point_cloud_0016.ply,rgb_0016.png,1730508015931,point_cloud_0016.ply,rgb_0016.png
depth_0017.png,1,1,1,1,17,depth_0017.png,point_cloud_0017.ply,rgb_0017.png,1730508043943,point_cloud_0017.ply,rgb_0017.png
depth_0018.png,1,1,1,1,18,depth_0018.png,point_cloud_0018.ply,rgb_0018.png,1730508060650,point_cloud_0018.ply,rgb_0018.png
depth_0019.png,1,1,1,1,19,depth_0019.png,point_cloud_0019.ply,rgb_0019.png,1730508097733,point_cloud_0019.ply,rgb_0019.png
depth_0020.png,1,1,1,1,20,depth_0020.png,point_cloud_0020.ply,rgb_0020.png,1730508105870,point_cloud_0020.ply,rgb_0020.png
depth_0021.png,1,1,1,1,21,depth_0021.png,point_cloud_0021.ply,rgb_0021.png,1730508128080,point_cloud_0021.ply,rgb_0021.png
depth_0022.png,1,1,1,1,22,depth_0022.png,point_cloud_0022.ply,rgb_0022.png,1730508135950,point_cloud_0022.ply,rgb_0022.png
depth_0023.png,1,1,1,1,23,depth_0023.png,point_cloud_0023.ply,rgb_0023.png,1730508145420,point_cloud_0023.ply,rgb_0023.png
depth_0024.png,1,1,1,1,24,depth_0024.png,point_cloud_0024.ply,rgb_0024.png,1730508151524,point_cloud_0024.ply,rgb_0024.png
