epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,7.77092,3.17885,4.47972,2.66453,0.00083,0.10753,0.00048,0.00016,2.58303,4.07586,2.50967,0.00102,0.00034,0.00102,0.00034,0.00102,0.00034,0.00102,0.00034
2,13.6531,2.74391,4.22327,2.36542,0.00317,0.4086,0.00245,0.00081,2.35635,3.90348,2.16529,0.00207921,0.00069307,0.00207921,0.00069307,0.00207921,0.00069307,0.00207921,0.00069307
3,19.5463,2.41444,3.93547,1.93891,0.00575,0.74194,0.00738,0.00245,2.17288,3.63341,1.71346,0.00311704,0.00103901,0.00311704,0.00103901,0.00311704,0.00103901,0.00311704,0.00103901
4,25.0366,2.19613,3.42773,1.67612,0.0065,0.83871,0.01406,0.00476,1.98357,3.47039,1.67265,0.00413348,0.00137783,0.00413348,0.00137783,0.00413348,0.00137783,0.00413348,0.00137783
5,30.3228,2.15593,2.70882,1.72304,0.93566,0.15639,0.41368,0.13343,2.026,2.88684,1.78964,0.00512854,0.00170951,0.00512854,0.00170951,0.00512854,0.00170951,0.00512854,0.00170951
6,35.4866,2.18714,2.34393,1.65364,0.15063,0.05151,0.06198,0.01287,2.35202,3.33452,1.93103,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901
7,40.8288,2.12915,2.25735,1.55507,0.1957,0.17204,0.0862,0.01721,2.44808,3.1234,1.86013,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
8,46.035,1.9929,2.14493,1.54639,0.63548,0.52489,0.57017,0.18509,2.17667,2.10722,1.70336,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614
9,51.1266,2.0324,2.06032,1.52938,0.6237,0.5525,0.5748,0.19026,2.13898,2.21869,1.65695,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
10,56.5653,1.95494,1.98501,1.49629,0.61147,0.50538,0.56306,0.16488,2.22613,2.46165,1.73882,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218
11,61.7617,1.93697,1.85618,1.47495,0.69845,0.46774,0.578,0.21533,2.10178,2.17549,1.63731,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
12,67.203,1.94884,1.80307,1.46209,0.74025,0.53763,0.62704,0.22269,2.06783,1.88851,1.63811,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822
13,72.3332,1.93071,1.79451,1.46602,0.77913,0.59677,0.69792,0.28064,1.97833,1.69921,1.57816,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
14,77.5337,1.92949,1.78273,1.45742,0.79049,0.56798,0.68397,0.28108,1.95646,1.74911,1.56019,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426
15,82.6868,1.85337,1.68156,1.43084,0.66626,0.66667,0.71276,0.28998,1.95833,1.6677,1.54196,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
