epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,8.89822,2.82317,4.27435,2.3671,0.00171,0.22043,0.00376,0.00057,2.41149,3.89784,2.18719,0.00102,0.00034,0.00102,0.00034,0.00102,0.00034,0.00102,0.00034
2,15.1588,2.44596,3.86422,1.98214,0.00438,0.56452,0.00811,0.00259,2.20754,3.66506,1.80059,0.00207921,0.00069307,0.00207921,0.00069307,0.00207921,0.00069307,0.00207921,0.00069307
3,21.582,2.17776,3.27307,1.67114,0.00662,0.85484,0.0305,0.00985,1.96624,3.35049,1.47459,0.00311704,0.00103901,0.00311704,0.00103901,0.00311704,0.00103901,0.00311704,0.00103901
4,27.5495,2.0546,2.32437,1.6186,0.94937,0.10086,0.51231,0.2164,1.89041,2.89479,1.45587,0.00413348,0.00137783,0.00413348,0.00137783,0.00413348,0.00137783,0.00413348,0.00137783
5,32.7367,1.92585,2.041,1.48792,0.89736,0.37602,0.64564,0.2396,1.98679,2.56935,1.4396,0.00512854,0.00170951,0.00512854,0.00170951,0.00512854,0.00170951,0.00512854,0.00170951
6,38.9507,1.92348,1.85973,1.42334,0.77426,0.66667,0.76746,0.29207,2.01846,1.96744,1.41401,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901
7,44.4365,1.84589,1.73867,1.35601,0.73482,0.59591,0.67455,0.21878,2.1813,1.88391,1.50221,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
8,50.3195,1.76833,1.63212,1.34594,0.84817,0.63072,0.76889,0.29473,2.0125,1.65318,1.45814,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614
9,55.9613,1.79834,1.56664,1.332,0.84263,0.67742,0.78958,0.33886,1.96184,1.56259,1.42338,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
10,61.907,1.80854,1.45796,1.33699,0.75811,0.69088,0.738,0.30412,2.034,1.62186,1.50522,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218
11,67.1708,1.70437,1.36468,1.27116,0.74634,0.72581,0.75439,0.29336,2.02354,1.55288,1.465,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
12,73.3329,1.72883,1.38579,1.27647,0.78175,0.66667,0.75325,0.29688,2.04118,1.5101,1.4998,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822
13,78.5981,1.68293,1.2954,1.2646,0.79553,0.75303,0.84087,0.37405,1.9092,1.244,1.40713,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
14,84.9687,1.70811,1.28676,1.26546,0.87544,0.71505,0.85849,0.3832,1.8812,1.21478,1.40742,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426
15,90.546,1.61592,1.20253,1.24164,0.84555,0.76528,0.85668,0.40445,1.85562,1.1278,1.38883,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
16,96.4534,1.60308,1.18603,1.23502,0.83138,0.79523,0.86692,0.40356,1.87237,1.15568,1.41665,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703
17,102.018,1.61666,1.10118,1.22218,0.87704,0.74731,0.86771,0.39177,1.91875,1.09565,1.40928,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
18,108.129,1.66636,1.1499,1.25424,0.77666,0.84409,0.87248,0.38781,1.93338,1.09611,1.39497,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634
19,113.561,1.58616,1.09948,1.21021,0.81264,0.7957,0.86622,0.38753,1.93376,1.11071,1.42465,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
20,119.871,1.54522,1.05249,1.20482,0.80747,0.83871,0.87474,0.38965,1.95373,1.12236,1.43163,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238
21,125.258,1.5368,1.04253,1.19375,0.79064,0.8172,0.86722,0.38779,1.94492,1.05319,1.42592,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
22,131.363,1.52401,1.03872,1.19364,0.77187,0.74584,0.83606,0.34628,1.99494,1.11334,1.48392,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842
23,136.686,1.54366,0.99336,1.18129,0.79147,0.74194,0.83689,0.34193,2.02847,1.1297,1.50889,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
24,142.872,1.50695,0.96737,1.18251,0.81856,0.75806,0.85959,0.37983,1.93024,1.04229,1.44197,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446
25,148.025,1.50826,0.94523,1.16893,0.72726,0.86015,0.85605,0.35693,2.00289,1.03439,1.47717,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
26,153.872,1.51315,0.98353,1.16227,0.80441,0.79603,0.88048,0.38534,1.93285,1.00424,1.42656,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505
27,159.363,1.45168,0.91868,1.15166,0.87319,0.76882,0.88495,0.41071,1.94499,0.96079,1.427,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
28,165.42,1.45904,0.90116,1.15008,0.83185,0.82453,0.88553,0.38874,1.93191,0.99963,1.43737,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654
29,170.67,1.40063,0.86443,1.13885,0.76647,0.847,0.86631,0.38722,1.97853,0.99048,1.43772,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
30,176.809,1.41969,0.88731,1.13869,0.79021,0.81005,0.84875,0.39888,1.96588,0.9497,1.43654,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258
31,182.215,1.38935,0.86362,1.12831,0.84788,0.7791,0.86759,0.38269,1.92728,0.939,1.4478,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
32,188.517,1.38637,0.84629,1.11191,0.81199,0.7957,0.85931,0.36864,1.97743,0.93551,1.48375,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862
33,193.685,1.36982,0.81993,1.11,0.78937,0.80108,0.86141,0.39629,1.92515,0.93184,1.44649,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
34,199.492,1.34173,0.81269,1.09979,0.76989,0.85484,0.88215,0.37958,1.94283,0.93084,1.4761,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466
35,204.745,1.33397,0.7913,1.08935,0.80506,0.79032,0.85396,0.38956,1.95795,0.93547,1.48042,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
36,210.569,1.35113,0.80012,1.102,0.80618,0.76034,0.855,0.36239,2.01414,0.96379,1.54789,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307
37,216.373,1.2989,0.80219,1.09871,0.81258,0.76344,0.84912,0.35239,2.04947,0.98958,1.55549,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
38,222.077,1.33052,0.77398,1.09121,0.79838,0.77957,0.84539,0.37145,1.98544,0.98984,1.48767,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674
39,227.376,1.3206,0.7843,1.0892,0.81166,0.75806,0.83268,0.38453,1.99031,0.97257,1.46505,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
40,233.164,1.33358,0.79615,1.08852,0.75742,0.82257,0.8374,0.37613,2.00002,0.96222,1.4792,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278
41,238.358,1.30794,0.75115,1.07873,0.81125,0.83186,0.86835,0.39622,1.95165,0.88284,1.45366,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
42,244.304,1.29628,0.74949,1.08425,0.8136,0.83871,0.86133,0.38877,1.95499,0.91752,1.47437,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882
43,250.088,1.24528,0.72932,1.05482,0.80165,0.80645,0.85964,0.39332,1.92953,0.91676,1.45172,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
44,255.988,1.25195,0.76024,1.05938,0.79635,0.81993,0.848,0.37378,1.93598,0.94682,1.46957,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486
45,261.589,1.26536,0.74881,1.06787,0.80564,0.82796,0.8503,0.36614,1.96107,0.92398,1.50662,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
46,267.259,1.25949,0.722,1.06156,0.8336,0.83871,0.85332,0.35109,1.99168,0.92778,1.52597,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109
47,272.729,1.24287,0.72963,1.05026,0.83395,0.82796,0.85182,0.34349,2.03094,0.92932,1.5416,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
48,279.058,1.22645,0.72398,1.05488,0.81378,0.86022,0.86081,0.37038,1.96979,0.89858,1.4873,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694
49,284.319,1.2245,0.69072,1.04335,0.82007,0.85484,0.85694,0.36324,1.99048,0.89387,1.53463,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
50,290.351,1.20306,0.69354,1.03958,0.8595,0.78934,0.85237,0.35429,2.00115,0.90765,1.54857,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298
51,295.954,1.20224,0.69767,1.04004,0.81906,0.80108,0.84022,0.36288,1.96049,0.90054,1.5135,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
52,301.931,1.17098,0.68649,1.02129,0.81726,0.79032,0.8446,0.35981,1.96855,0.90947,1.52911,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902
53,307.291,1.18798,0.66971,1.03597,0.82251,0.8222,0.85942,0.38345,1.91475,0.93194,1.49231,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
54,313.216,1.16929,0.66097,1.02326,0.81958,0.78156,0.84557,0.3807,1.91923,0.93815,1.47824,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506
55,318.889,1.14709,0.66448,1.01838,0.82578,0.81546,0.85358,0.37336,1.97186,0.91406,1.51387,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308
56,324.928,1.14618,0.65568,1.01857,0.81248,0.8386,0.86144,0.38731,1.94449,0.90441,1.49002,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911
57,330.694,1.16684,0.64563,1.02298,0.83345,0.8172,0.86711,0.39573,1.95917,0.88576,1.51173,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
