epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,28.8324,3.11229,4.57962,2.71257,0.0005,0.06452,0.00027,8e-05,2.6429,4.07023,2.53792,0.00102,0.00034,0.00102,0.00034,0.00102,0.00034,0.00102,0.00034
2,33.681,2.74164,4.26579,2.37264,0.00237,0.30645,0.0016,0.0005,2.33447,3.94166,2.22135,0.00207921,0.00069307,0.00207921,0.00069307,0.00207921,0.00069307,0.00207921,0.00069307
3,39.4809,2.41675,3.94601,2.0343,0.00521,0.67204,0.00656,0.00249,2.05232,3.67744,1.78261,0.00311704,0.00103901,0.00311704,0.00103901,0.00311704,0.00103901,0.00311704,0.00103901
4,44.6283,2.22646,3.29813,1.83675,0.00646,0.83333,0.0144,0.00509,2.1225,3.36906,1.84333,0.00413348,0.00137783,0.00413348,0.00137783,0.00413348,0.00137783,0.00413348,0.00137783
5,49.4513,2.17143,2.65931,1.8445,0.00717,0.92473,0.35547,0.14376,1.94907,3.0214,1.76582,0.00512854,0.00170951,0.00512854,0.00170951,0.00512854,0.00170951,0.00512854,0.00170951
6,55.1275,2.1169,2.43335,1.72777,0.58906,0.40845,0.45248,0.18144,1.98375,2.53339,1.80568,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901
7,60.28,2.01794,2.26357,1.61928,0.49053,0.5,0.42285,0.15679,2.00043,2.30061,1.81241,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
8,65.3637,1.89124,2.08129,1.59152,0.63793,0.52688,0.52824,0.17082,2.20589,2.06829,1.86383,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614
9,70.455,1.98493,2.00586,1.55587,0.62962,0.59677,0.59801,0.2536,1.95672,1.90616,1.65962,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
10,75.6374,1.92138,1.94928,1.51952,0.75853,0.55376,0.60486,0.24174,1.99775,2.06606,1.6729,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218
11,80.8048,1.84868,1.75042,1.46539,0.69112,0.5914,0.65639,0.29443,1.88233,1.73511,1.59965,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
12,86.0984,1.89075,1.7219,1.46979,0.7305,0.55914,0.64076,0.28328,1.88775,1.76794,1.60994,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822
13,90.9071,1.80792,1.71289,1.46628,0.63954,0.62366,0.67256,0.29974,1.84614,1.74317,1.60249,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
14,96.4984,1.84891,1.70192,1.47745,0.69268,0.61828,0.66533,0.27045,1.93367,1.68617,1.61595,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426
15,101.58,1.75869,1.59204,1.43531,0.71,0.64498,0.68747,0.30558,1.85371,1.61807,1.52921,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
16,106.73,1.78443,1.54698,1.39821,0.64842,0.63978,0.66921,0.29412,1.88315,1.61951,1.54589,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703
17,112.106,1.78391,1.48003,1.37772,0.70651,0.63978,0.69213,0.31118,1.94872,1.49922,1.55472,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
18,117.375,1.81473,1.50575,1.40541,0.73483,0.70968,0.73387,0.33252,1.89683,1.45978,1.53235,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634
19,122.017,1.7644,1.45413,1.36166,0.75227,0.63672,0.7027,0.3094,1.9465,1.49073,1.54996,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
20,127.822,1.73867,1.39208,1.36528,0.70153,0.64516,0.67098,0.30192,1.94063,1.542,1.58882,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238
21,132.777,1.72185,1.36898,1.35018,0.6632,0.64516,0.66011,0.27376,1.9841,1.57655,1.60918,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
22,138.197,1.69465,1.3614,1.34584,0.73174,0.63978,0.71332,0.31283,1.95368,1.53803,1.56978,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842
23,142.915,1.71324,1.29341,1.32243,0.71217,0.60753,0.68448,0.29664,1.98037,1.5914,1.57734,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
24,148.169,1.67653,1.27887,1.32058,0.73637,0.6828,0.7246,0.32978,1.92189,1.38775,1.52201,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446
25,153.057,1.7,1.24394,1.31513,0.73027,0.66957,0.6987,0.32055,1.9458,1.45281,1.56042,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
26,158.444,1.68461,1.26832,1.29849,0.70855,0.57527,0.62359,0.29387,1.987,1.58803,1.599,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505
27,163.376,1.61928,1.22654,1.29122,0.74114,0.55376,0.6406,0.28501,2.01587,1.56969,1.61089,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
28,168.998,1.6565,1.18372,1.28756,0.80836,0.53763,0.65691,0.2867,2.05044,1.50124,1.61147,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654
29,173.934,1.63138,1.14594,1.28284,0.72743,0.65591,0.70983,0.31255,2.01279,1.38313,1.55274,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
30,179.464,1.61929,1.14908,1.2659,0.72715,0.63046,0.68209,0.28921,2.06273,1.46949,1.61826,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258
