epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.8796,2.48513,3.78729,1.99803,0.00646,0.83333,0.02748,0.00661,2.20398,3.63366,1.78261,0.00034,0.00034,0.00034
2,33.1605,2.03143,2.35678,1.56107,0.00758,0.97849,0.20184,0.05051,1.98099,3.26038,1.51888,0.00069307,0.00069307,0.00069307
3,38.7858,1.9252,2.03346,1.52002,0.00762,0.98387,0.05016,0.01782,1.77437,3.06481,1.48241,0.00103901,0.00103901,0.00103901
4,44.682,1.93928,1.93603,1.52822,0.21623,0.25957,0.17883,0.05724,1.89724,2.93893,1.65776,0.00137783,0.00137783,0.00137783
5,50.9554,1.81183,1.77377,1.48081,0.5613,0.4265,0.47348,0.15572,1.99097,2.53962,1.80393,0.00170951,0.00170951,0.00170951
6,57.173,1.88758,1.68255,1.50177,0.29148,0.15054,0.09617,0.0215,3.36194,2.9652,3.1592,0.001901,0.001901,0.001901
7,63.0814,1.84436,1.60289,1.46091,0.6464,0.63441,0.66569,0.26941,2.02088,1.91679,1.83287,0.0018812,0.0018812,0.0018812
8,68.4654,1.79183,1.54018,1.47357,0.7928,0.69355,0.76473,0.33971,1.93926,1.48146,1.66564,0.0018614,0.0018614,0.0018614
9,74.3697,1.84141,1.49986,1.48798,0.69398,0.60215,0.66739,0.26928,2.06994,1.60869,1.86281,0.0018416,0.0018416,0.0018416
10,80.2877,1.85239,1.42492,1.47729,0.7085,0.6129,0.68193,0.21087,2.29938,1.54474,1.99733,0.0018218,0.0018218,0.0018218
11,85.9215,1.74334,1.33309,1.42738,0.78497,0.70657,0.77755,0.30333,2.00899,1.3556,1.71263,0.001802,0.001802,0.001802
12,91.6267,1.76833,1.30349,1.41874,0.72987,0.72581,0.78651,0.32524,1.92255,1.60943,1.68898,0.0017822,0.0017822,0.0017822
13,97.3436,1.75244,1.28791,1.44741,0.84325,0.69355,0.80482,0.32888,1.9454,1.50694,1.74805,0.0017624,0.0017624,0.0017624
14,103.488,1.81613,1.28365,1.46483,0.79225,0.71505,0.82554,0.34739,1.92648,1.29023,1.68864,0.0017426,0.0017426,0.0017426
15,109.368,1.74716,1.26928,1.42135,0.75678,0.81183,0.85067,0.35612,1.84383,1.30319,1.63528,0.0017228,0.0017228,0.0017228
16,115.135,1.65352,1.19758,1.36628,0.79084,0.7957,0.86186,0.35939,1.87225,1.28641,1.652,0.001703,0.001703,0.001703
17,120.952,1.70717,1.13574,1.38806,0.74509,0.66667,0.73078,0.26131,2.07131,1.39682,1.77809,0.0016832,0.0016832,0.0016832
18,126.825,1.75656,1.18415,1.44959,0.80356,0.70376,0.78245,0.31095,2.00641,1.42,1.7103,0.0016634,0.0016634,0.0016634
19,132.277,1.70057,1.16823,1.38942,0.8008,0.71326,0.83252,0.36553,1.95503,1.2456,1.65066,0.0016436,0.0016436,0.0016436
20,138.577,1.63384,1.08106,1.37562,0.82837,0.77846,0.86206,0.38503,1.91912,1.07184,1.60422,0.0016238,0.0016238,0.0016238
21,144.349,1.64656,1.07161,1.37493,0.78668,0.81183,0.85825,0.38452,1.92622,1.15182,1.66586,0.001604,0.001604,0.001604
22,150.316,1.66318,1.12475,1.40543,0.80845,0.72581,0.81781,0.35922,2.02117,1.18534,1.70914,0.0015842,0.0015842,0.0015842
23,155.842,1.66948,1.06299,1.3737,0.7917,0.75607,0.83617,0.38333,1.89422,1.20265,1.60043,0.0015644,0.0015644,0.0015644
24,161.777,1.6228,1.03741,1.35966,0.75017,0.79104,0.85051,0.3754,1.91449,1.08752,1.61414,0.0015446,0.0015446,0.0015446
25,167.256,1.61158,0.99042,1.33659,0.76079,0.78658,0.83409,0.37352,1.98221,1.10364,1.64822,0.0015248,0.0015248,0.0015248
26,173.285,1.66106,1.02454,1.35097,0.81605,0.72581,0.82357,0.35164,1.95406,1.08294,1.68229,0.001505,0.001505,0.001505
27,178.952,1.58262,0.97661,1.34417,0.85117,0.73795,0.85192,0.35019,2.05932,1.06327,1.76871,0.0014852,0.0014852,0.0014852
28,184.831,1.6123,0.95769,1.34944,0.80193,0.78362,0.83228,0.36567,1.9987,1.06149,1.70828,0.0014654,0.0014654,0.0014654
29,190.497,1.56864,0.92358,1.3334,0.80396,0.78495,0.83363,0.38581,1.94917,1.06132,1.62807,0.0014456,0.0014456,0.0014456
30,195.973,1.58834,0.93708,1.32722,0.84267,0.74194,0.85171,0.40087,1.95335,1.00767,1.64243,0.0014258,0.0014258,0.0014258
31,201.481,1.55546,0.92,1.31729,0.8044,0.76882,0.87298,0.40256,1.89406,1.01615,1.61677,0.001406,0.001406,0.001406
32,207.308,1.5759,0.91183,1.32418,0.83311,0.77957,0.8593,0.37614,1.96995,1.00268,1.62682,0.0013862,0.0013862,0.0013862
33,212.561,1.51922,0.88102,1.29594,0.80113,0.7364,0.83109,0.36757,1.92107,1.1068,1.6462,0.0013664,0.0013664,0.0013664
34,218.13,1.51405,0.87057,1.29609,0.78027,0.77419,0.81115,0.36616,1.96838,1.07329,1.71678,0.0013466,0.0013466,0.0013466
35,223.452,1.49453,0.85546,1.25983,0.80973,0.74731,0.83839,0.38629,1.97758,1.00077,1.74301,0.0013268,0.0013268,0.0013268
36,229.18,1.49971,0.85566,1.27137,0.80016,0.77419,0.83938,0.3804,1.97476,1.06742,1.68496,0.001307,0.001307,0.001307
37,234.764,1.46797,0.85121,1.2801,0.81678,0.77419,0.84098,0.38163,1.99005,0.93095,1.66115,0.0012872,0.0012872,0.0012872
38,240.189,1.49663,0.83556,1.26562,0.76096,0.82796,0.85859,0.36434,2.0322,0.95354,1.70048,0.0012674,0.0012674,0.0012674
39,245.5,1.53873,0.86079,1.29631,0.84096,0.77419,0.85706,0.35964,2.05704,0.98125,1.79079,0.0012476,0.0012476,0.0012476
40,251.306,1.46563,0.84652,1.26678,0.83776,0.77732,0.87114,0.3787,1.94811,0.97728,1.74022,0.0012278,0.0012278,0.0012278
41,256.779,1.49528,0.82047,1.27574,0.82986,0.78673,0.84361,0.3678,1.99924,1.01807,1.74218,0.001208,0.001208,0.001208
42,262.527,1.50476,0.82652,1.30716,0.84453,0.82796,0.8791,0.39732,1.98213,0.91323,1.75456,0.0011882,0.0011882,0.0011882
43,268.206,1.47557,0.80979,1.27087,0.79567,0.83744,0.85782,0.39871,1.94839,0.87529,1.69741,0.0011684,0.0011684,0.0011684
44,274.024,1.44746,0.79275,1.24682,0.83997,0.84409,0.8767,0.38488,1.98371,0.91663,1.70433,0.0011486,0.0011486,0.0011486
45,279.798,1.43299,0.78865,1.24341,0.85718,0.83896,0.86744,0.38201,1.92187,0.94376,1.68386,0.0011288,0.0011288,0.0011288
46,285.531,1.4198,0.78031,1.23029,0.84556,0.77419,0.86126,0.39573,1.93341,0.89583,1.69109,0.001109,0.001109,0.001109
47,291.032,1.41868,0.77014,1.22366,0.84325,0.80108,0.86706,0.40516,1.91984,0.93857,1.6038,0.0010892,0.0010892,0.0010892
48,296.749,1.41645,0.7826,1.23681,0.83451,0.77957,0.85817,0.39468,1.91984,0.94061,1.63471,0.0010694,0.0010694,0.0010694
49,302.468,1.39027,0.73832,1.21519,0.78965,0.79032,0.80304,0.3489,1.96741,1.17333,1.70035,0.0010496,0.0010496,0.0010496
50,308.323,1.41595,0.76439,1.23395,0.83726,0.75806,0.83744,0.38056,1.93218,0.96781,1.65122,0.0010298,0.0010298,0.0010298
51,313.946,1.37982,0.72829,1.20743,0.80671,0.78536,0.81205,0.31459,2.05043,1.0143,1.92484,0.00101,0.00101,0.00101
52,319.525,1.38778,0.74327,1.19729,0.81966,0.7957,0.85616,0.36991,2.0132,0.93117,1.76649,0.0009902,0.0009902,0.0009902
53,324.904,1.37377,0.71431,1.20746,0.85531,0.77957,0.87799,0.41413,1.92366,0.8846,1.64482,0.0009704,0.0009704,0.0009704
54,330.739,1.37504,0.72058,1.19707,0.82474,0.78429,0.86156,0.38051,2.00083,0.99932,1.65163,0.0009506,0.0009506,0.0009506
55,336.377,1.33827,0.72646,1.17876,0.82227,0.76882,0.83821,0.38474,1.9493,0.90053,1.64405,0.0009308,0.0009308,0.0009308
