epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,22.8807,1.928,4.13267,1.66318,0.00369,0.23906,0.0037,0.00176,1.38812,3.77771,1.34689,0.00085017,0.00028339,0.00085017,0.00028339,0.00085017,0.00028339,0.00085017,0.00028339
2,37.9789,1.50258,3.72725,1.31283,0.0062,0.43846,0.01545,0.00752,1.23188,3.57992,1.13453,0.00173302,0.000577674,0.00173302,0.000577674,0.00173302,0.000577674,0.00173302,0.000577674
3,52.5419,1.39642,3.03777,1.16662,0.00909,0.74092,0.21095,0.121,1.25742,3.20469,1.0704,0.00259805,0.000866017,0.00259805,0.000866017,0.00259805,0.000866017,0.00259805,0.000866017
4,65.4556,1.36731,2.16073,1.14197,0.80957,0.30783,0.36611,0.21043,1.36127,2.50759,1.15843,0.00344525,0.00114842,0.00344525,0.00114842,0.00344525,0.00114842,0.00344525,0.00114842
5,78.8939,1.26467,1.73376,1.12308,0.32991,0.39364,0.38204,0.22338,1.33145,2.14584,1.11552,0.00427463,0.00142488,0.00427463,0.00142488,0.00427463,0.00142488,0.00427463,0.00142488
6,96.2939,1.23774,1.65115,1.07112,0.36096,0.57756,0.41921,0.25695,1.26314,1.74707,1.08466,0.00475345,0.00158448,0.00475345,0.00158448,0.00475345,0.00158448,0.00475345,0.00158448
7,109.72,1.19482,1.56759,1.06749,0.39286,0.65851,0.45581,0.28646,1.18173,1.65815,1.07222,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798
8,122.255,1.14891,1.49706,1.06533,0.4951,0.73521,0.57827,0.36442,1.16433,1.50845,1.05485,0.00465443,0.00155148,0.00465443,0.00155148,0.00465443,0.00155148,0.00465443,0.00155148
9,134.608,1.12664,1.39342,1.03283,0.69416,0.7031,0.71266,0.4451,1.14456,1.34141,1.05355,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497
10,147.449,1.11531,1.33501,1.03364,0.74517,0.69948,0.78326,0.50193,1.11269,1.21818,1.05349,0.00455541,0.00151847,0.00455541,0.00151847,0.00455541,0.00151847,0.00455541,0.00151847
11,159.725,1.13888,1.31343,1.04853,0.75869,0.69749,0.78706,0.51238,1.11947,1.1579,1.05274,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197
12,171.876,1.1131,1.21618,1.03699,0.75375,0.73949,0.79021,0.54065,1.08199,1.15688,1.05,0.00445639,0.00148546,0.00445639,0.00148546,0.00445639,0.00148546,0.00445639,0.00148546
13,183.357,1.08774,1.16972,1.03167,0.83014,0.70002,0.80417,0.53565,1.08759,1.09154,1.03631,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896
14,196.912,1.0689,1.14237,1.01603,0.81552,0.74353,0.82177,0.53982,1.09088,1.02993,1.03508,0.00435737,0.00145246,0.00435737,0.00145246,0.00435737,0.00145246,0.00435737,0.00145246
15,209.084,1.03165,1.1212,1.00841,0.86193,0.71997,0.82691,0.54069,1.09637,1.03014,1.0479,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595
16,220.496,1.05971,1.07197,1.00894,0.81119,0.72052,0.8317,0.54383,1.10883,1.05603,1.0517,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945
17,232.759,1.04791,1.03171,0.9889,0.82496,0.70416,0.82377,0.53237,1.15679,1.038,1.0545,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295
18,245.249,0.99999,1.00356,1.00776,0.79799,0.72721,0.81532,0.53556,1.16596,1.05716,1.0676,0.00415933,0.00138644,0.00415933,0.00138644,0.00415933,0.00138644,0.00415933,0.00138644
19,255.851,1.00683,0.99202,0.98923,0.76059,0.7639,0.83455,0.57538,1.1129,1.00552,1.04995,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994
20,268.697,1.00263,0.96335,0.9944,0.86344,0.73906,0.85108,0.59004,1.08504,0.93977,1.0358,0.00406031,0.00135344,0.00406031,0.00135344,0.00406031,0.00135344,0.00406031,0.00135344
21,280.165,0.99131,0.94807,0.98872,0.90483,0.73748,0.84187,0.58068,1.12531,0.96174,1.0484,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693
22,292.286,1.00613,0.96981,0.99813,0.83284,0.7509,0.84889,0.59876,1.06976,0.93625,1.03365,0.00396129,0.00132043,0.00396129,0.00132043,0.00396129,0.00132043,0.00396129,0.00132043
23,303.854,0.96676,0.88512,0.98357,0.83798,0.74525,0.84812,0.59542,1.10382,0.97416,1.04355,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393
24,316.236,0.96853,0.91597,0.97882,0.81419,0.75449,0.8439,0.59548,1.0921,0.97944,1.04025,0.00386227,0.00128742,0.00386227,0.00128742,0.00386227,0.00128742,0.00386227,0.00128742
25,327.192,0.98337,0.88388,0.9902,0.80695,0.74113,0.8491,0.59371,1.08524,0.93243,1.04628,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092
26,339.823,0.97327,0.87375,0.97635,0.85323,0.75909,0.85546,0.59401,1.10312,0.93237,1.05573,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442
27,351.249,0.93602,0.84953,0.98144,0.79736,0.76862,0.8439,0.58162,1.12593,0.93659,1.06669,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791
28,364.118,0.96,0.85446,0.98519,0.77439,0.76582,0.83789,0.57811,1.09375,0.92063,1.04632,0.00366423,0.00122141,0.00366423,0.00122141,0.00366423,0.00122141,0.00366423,0.00122141
29,375.885,0.91265,0.81363,0.96919,0.71393,0.80555,0.83516,0.58775,1.06234,0.91184,1.03674,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491
30,388.809,0.97338,0.85217,0.97594,0.7884,0.76251,0.83892,0.58292,1.12267,0.91248,1.06204,0.00356521,0.0011884,0.00356521,0.0011884,0.00356521,0.0011884,0.00356521,0.0011884
31,400.715,0.94705,0.80574,0.9757,0.77907,0.75376,0.83993,0.56996,1.15779,0.92791,1.08301,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719
32,413.781,0.92467,0.76901,0.97561,0.85286,0.75801,0.85077,0.59331,1.11332,0.88778,1.06152,0.00346619,0.0011554,0.00346619,0.0011554,0.00346619,0.0011554,0.00346619,0.0011554
33,426.222,0.92123,0.78144,0.96902,0.84035,0.74585,0.84562,0.5837,1.11828,0.87907,1.05753,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889
34,438.963,0.9131,0.79309,0.96361,0.83402,0.73673,0.84319,0.58353,1.11128,0.89485,1.06054,0.00336717,0.00112239,0.00336717,0.00112239,0.00336717,0.00112239,0.00336717,0.00112239
35,450.7,0.93348,0.77365,0.96467,0.83137,0.74834,0.84566,0.58613,1.0999,0.89334,1.05143,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589
36,463.81,0.88031,0.75671,0.95064,0.80781,0.7752,0.84455,0.58024,1.12615,0.88663,1.06577,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938
