epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,8.8643,0.51683,0.89632,1,0.2984,0.00163967,0.000546557,0.00163967,0.000546557,0.00163967,0.000546557,0.00163967,0.000546557
2,16.6182,0.25689,0.94983,1,0.13302,0.00327394,0.00109131,0.00327394,0.00109131,0.00327394,0.00109131,0.00327394,0.00109131
3,23.8716,0.16475,0.95987,1,0.10285,0.00487519,0.00162506,0.00487519,0.00162506,0.00487519,0.00162506,0.00487519,0.00162506
4,30.8793,0.14297,0.97324,1,0.06204,0.00485247,0.00161749,0.00485247,0.00161749,0.00485247,0.00161749,0.00485247,0.00161749
5,38.1024,0.14258,0.96321,1,0.0884,0.00480296,0.00160099,0.00480296,0.00160099,0.00480296,0.00160099,0.00480296,0.00160099
6,45.1375,0.13146,0.9699,1,0.07619,0.00475345,0.00158448,0.00475345,0.00158448,0.00475345,0.00158448,0.00475345,0.00158448
7,52.6203,0.09449,0.96656,1,0.10567,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798
8,59.8204,0.10452,0.97324,1,0.06584,0.00465443,0.00155148,0.00465443,0.00155148,0.00465443,0.00155148,0.00465443,0.00155148
9,66.9676,0.09613,0.97659,1,0.0663,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497
10,74.0397,0.07816,0.9699,1,0.08606,0.00455541,0.00151847,0.00455541,0.00151847,0.00455541,0.00151847,0.00455541,0.00151847
11,81.5152,0.07526,0.96656,1,0.11339,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197
12,88.3261,0.06294,0.9699,1,0.07282,0.00445639,0.00148546,0.00445639,0.00148546,0.00445639,0.00148546,0.00445639,0.00148546
13,95.5719,0.04738,0.9699,1,0.07749,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896
14,102.601,0.0562,0.97993,1,0.07059,0.00435737,0.00145246,0.00435737,0.00145246,0.00435737,0.00145246,0.00435737,0.00145246
15,110.052,0.05547,0.96321,1,0.11104,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595
16,117.085,0.06024,0.96656,1,0.07931,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945
17,124.149,0.04977,0.9699,1,0.08129,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295
18,131.247,0.04752,0.96656,1,0.08457,0.00415933,0.00138644,0.00415933,0.00138644,0.00415933,0.00138644,0.00415933,0.00138644
19,138.378,0.04931,0.96656,1,0.08846,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994
20,145.73,0.03646,0.9699,1,0.08866,0.00406031,0.00135344,0.00406031,0.00135344,0.00406031,0.00135344,0.00406031,0.00135344
21,152.721,0.04397,0.9699,1,0.09609,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693
22,159.882,0.04339,0.96656,1,0.13791,0.00396129,0.00132043,0.00396129,0.00132043,0.00396129,0.00132043,0.00396129,0.00132043
23,166.959,0.03735,0.97324,1,0.08296,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393
24,174.422,0.02675,0.96656,1,0.08609,0.00386227,0.00128742,0.00386227,0.00128742,0.00386227,0.00128742,0.00386227,0.00128742
25,181.399,0.03536,0.96321,1,0.08552,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092
26,188.542,0.02382,0.9699,1,0.09946,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442
27,195.721,0.03805,0.97324,1,0.08422,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791
28,202.658,0.04171,0.9699,1,0.11363,0.00366423,0.00122141,0.00366423,0.00122141,0.00366423,0.00122141,0.00366423,0.00122141
29,210.082,0.02913,0.97324,1,0.066,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491
30,217.231,0.02069,0.9699,1,0.08965,0.00356521,0.0011884,0.00356521,0.0011884,0.00356521,0.0011884,0.00356521,0.0011884
31,224.453,0.03565,0.97993,1,0.0551,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719
32,231.323,0.0346,0.97324,1,0.05642,0.00346619,0.0011554,0.00346619,0.0011554,0.00346619,0.0011554,0.00346619,0.0011554
33,238.523,0.02619,0.9699,1,0.08359,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889
34,245.631,0.04276,0.97324,1,0.08298,0.00336717,0.00112239,0.00336717,0.00112239,0.00336717,0.00112239,0.00336717,0.00112239
35,252.637,0.03125,0.97993,1,0.04112,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589
36,259.577,0.04404,0.97659,1,0.05487,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938
37,266.708,0.0388,0.97659,1,0.05954,0.00321864,0.00107288,0.00321864,0.00107288,0.00321864,0.00107288,0.00321864,0.00107288
38,273.822,0.01755,0.97659,1,0.07257,0.00316913,0.00105638,0.00316913,0.00105638,0.00316913,0.00105638,0.00316913,0.00105638
39,281.281,0.03311,0.97324,1,0.07685,0.00311962,0.00103987,0.00311962,0.00103987,0.00311962,0.00103987,0.00311962,0.00103987
40,288.048,0.03039,0.97659,1,0.06528,0.00307011,0.00102337,0.00307011,0.00102337,0.00307011,0.00102337,0.00307011,0.00102337
41,295.18,0.03715,0.96656,1,0.08792,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687
42,302.235,0.02367,0.9699,1,0.10073,0.00297109,0.000990365,0.00297109,0.000990365,0.00297109,0.000990365,0.00297109,0.000990365
43,309.285,0.02072,0.96656,1,0.12488,0.00292158,0.000973861,0.00292158,0.000973861,0.00292158,0.000973861,0.00292158,0.000973861
44,316.242,0.0285,0.96321,1,0.17755,0.00287207,0.000957358,0.00287207,0.000957358,0.00287207,0.000957358,0.00287207,0.000957358
