epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,44.3936,1.88183,4.05018,1.66985,0.00205,0.13976,0.00253,0.00077,1.39004,3.7808,1.35209,0.00085017,0.00028339,0.00085017,0.00028339,0.00085017,0.00028339,0.00085017,0.00028339
2,54.3958,1.50963,3.66661,1.39275,0.0049,0.33341,0.00458,0.00244,1.26263,3.67778,1.21008,0.00173302,0.000577674,0.00173302,0.000577674,0.00173302,0.000577674,0.00173302,0.000577674
3,69.2086,1.4652,2.80276,1.37367,0.00778,0.60243,0.01978,0.00824,1.19618,3.45771,1.17759,0.00259805,0.000866017,0.00259805,0.000866017,0.00259805,0.000866017,0.00259805,0.000866017
4,84.9999,1.39553,2.09508,1.35403,0.0096,0.80761,0.13368,0.06093,1.21676,3.17603,1.24026,0.00344525,0.00114842,0.00344525,0.00114842,0.00344525,0.00114842,0.00344525,0.00114842
5,101.233,1.30014,1.83097,1.29047,0.31783,0.07796,0.30211,0.15741,1.31881,2.62455,1.29851,0.00427463,0.00142488,0.00427463,0.00142488,0.00427463,0.00142488,0.00427463,0.00142488
6,118.693,1.25902,1.73018,1.21013,0.39471,0.47644,0.34454,0.19326,1.2756,2.06408,1.23974,0.00475345,0.00158448,0.00475345,0.00158448,0.00475345,0.00158448,0.00475345,0.00158448
7,134.548,1.22076,1.60236,1.17627,0.39275,0.61024,0.41518,0.25118,1.21887,1.76459,1.17898,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798
8,149.066,1.17854,1.53475,1.1598,0.43669,0.59036,0.48909,0.28928,1.27466,1.5961,1.19331,0.00465443,0.00155148,0.00465443,0.00155148,0.00465443,0.00155148,0.00465443,0.00155148
9,164.689,1.16272,1.42828,1.13008,0.64254,0.65138,0.68634,0.42876,1.18903,1.39304,1.15805,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497
10,179.902,1.12583,1.35719,1.11588,0.68551,0.67131,0.74059,0.4737,1.16041,1.27337,1.16802,0.00455541,0.00151847,0.00455541,0.00151847,0.00455541,0.00151847,0.00455541,0.00151847
11,194.574,1.16404,1.33166,1.1341,0.76317,0.63441,0.74842,0.49369,1.17011,1.25703,1.15797,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197
