epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,7.51111,2.81727,4.27492,2.40273,0.00258,0.33333,0.00206,0.00063,2.45548,3.92772,2.21662,0.00102,0.00034,0.00102,0.00034,0.00102,0.00034,0.00102,0.00034
2,13.2199,2.47004,3.99673,2.0704,0.00496,0.63978,0.00607,0.00202,2.16043,3.68866,1.85257,0.00207921,0.00069307,0.00207921,0.00069307,0.00207921,0.00069307,0.00207921,0.00069307
3,19.0093,2.13142,3.65763,1.67696,0.00646,0.83333,0.02044,0.00849,2.04917,3.33994,1.47006,0.00311704,0.00103901,0.00311704,0.00103901,0.00311704,0.00103901,0.00311704,0.00103901
4,24.3644,2.01329,2.97997,1.49695,0.82909,0.07832,0.45565,0.15604,2.0649,2.85538,1.36513,0.00413348,0.00137783,0.00413348,0.00137783,0.00413348,0.00137783,0.00413348,0.00137783
5,29.3084,1.96209,2.24959,1.4841,0.63353,0.5,0.5594,0.20915,2.22255,2.32653,1.53389,0.00512854,0.00170951,0.00512854,0.00170951,0.00512854,0.00170951,0.00512854,0.00170951
6,34.757,1.96607,2.02754,1.44611,0.80288,0.56935,0.67533,0.26973,2.10979,2.01961,1.45693,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901
7,39.6823,1.85432,1.88499,1.367,0.76835,0.60753,0.7083,0.25497,2.09659,1.88561,1.50551,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
8,44.9138,1.74579,1.70715,1.32838,0.78544,0.73656,0.83078,0.34895,1.90168,1.72421,1.4151,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614
9,49.6853,1.80537,1.61528,1.32165,0.82384,0.73656,0.84919,0.38599,1.85232,1.48969,1.37145,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
10,54.6638,1.78627,1.52914,1.31324,0.81167,0.74731,0.81596,0.33038,1.90272,1.62737,1.39173,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218
11,59.6888,1.69495,1.40881,1.25969,0.76946,0.77419,0.80403,0.32054,1.89335,1.55231,1.36622,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
