epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.50149,2.53949,4.07133,2.31795,0.00642,0.82796,0.01039,0.00363,1.96244,3.58235,1.66246,0.00034,0.00034,0.00034
2,11.4462,2.00555,2.57779,1.77861,0.00667,0.86022,0.01443,0.00539,2.0283,3.39703,1.72991,0.00069307,0.00069307,0.00069307
3,16.2661,1.8983,2.19553,1.65448,0.00438,0.56452,0.0267,0.0061,2.46635,3.67778,2.31355,0.00103901,0.00103901,0.00103901
4,20.9755,1.90179,2.1288,1.72552,0.00713,0.91935,0.29657,0.07551,2.52517,3.16546,2.04692,0.00137783,0.00137783,0.00137783
5,25.6603,1.90221,2.00042,1.69573,0.69933,0.18758,0.48471,0.17313,1.97725,2.57054,1.73278,0.00170951,0.00170951,0.00170951
6,30.6916,1.81851,1.84998,1.70531,0.82767,0.59389,0.73565,0.29281,1.97843,2.18475,1.66473,0.001901,0.001901,0.001901
7,35.3206,1.84605,1.83441,1.65101,0.80517,0.66657,0.7727,0.32912,1.81516,1.83839,1.65469,0.0018812,0.0018812,0.0018812
8,39.8525,1.83887,1.65189,1.61052,0.73647,0.67613,0.75179,0.3226,1.93061,1.56579,1.73584,0.0018614,0.0018614,0.0018614
9,44.6246,1.81395,1.56249,1.58931,0.64091,0.63441,0.65064,0.25349,1.96781,1.78478,1.76152,0.0018416,0.0018416,0.0018416
10,49.2519,1.79723,1.49134,1.57315,0.70273,0.66088,0.74918,0.34063,1.87564,1.60315,1.69571,0.0018218,0.0018218,0.0018218
11,53.6551,1.69608,1.41118,1.52628,0.69314,0.71505,0.74645,0.331,1.88356,1.56223,1.75276,0.001802,0.001802,0.001802
12,58.2096,1.78933,1.41622,1.5726,0.76057,0.70968,0.78304,0.34445,1.90402,1.35097,1.68222,0.0017822,0.0017822,0.0017822
13,62.9813,1.76762,1.31831,1.55125,0.81355,0.72723,0.82969,0.38002,1.89864,1.27311,1.68659,0.0017624,0.0017624,0.0017624
14,68.178,1.69046,1.29389,1.5361,0.81723,0.68817,0.81206,0.36037,1.86978,1.45586,1.70473,0.0017426,0.0017426,0.0017426
15,72.6942,1.71099,1.25261,1.53222,0.78829,0.76344,0.8384,0.34367,2.10667,1.29558,1.84972,0.0017228,0.0017228,0.0017228
16,77.0069,1.72854,1.22379,1.55132,0.71765,0.75806,0.79099,0.3217,2.07133,1.33588,1.79294,0.001703,0.001703,0.001703
17,81.767,1.67302,1.17375,1.48344,0.79355,0.73118,0.79622,0.3038,2.07491,1.28816,1.83608,0.0016832,0.0016832,0.0016832
18,86.5894,1.69853,1.18135,1.5364,0.72094,0.69892,0.72596,0.25956,2.25889,1.30848,2.07932,0.0016634,0.0016634,0.0016634
19,91.0831,1.6962,1.13566,1.51141,0.77744,0.82258,0.89589,0.41763,1.88767,1.04403,1.69284,0.0016436,0.0016436,0.0016436
20,96.3422,1.71171,1.12367,1.50529,0.82071,0.73656,0.86086,0.39947,1.859,1.11277,1.6495,0.0016238,0.0016238,0.0016238
21,101.001,1.65958,1.08496,1.49203,0.82222,0.76344,0.86445,0.40459,1.88503,1.09097,1.69407,0.001604,0.001604,0.001604
22,105.817,1.6672,1.0861,1.46978,0.73631,0.72059,0.79366,0.32891,2.11632,1.21452,1.78533,0.0015842,0.0015842,0.0015842
