epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.76541,2.81927,4.66895,2.43415,0,0,0,0,2.87557,3.98426,2.59785,0.00034,0.00034,0.00034
2,10.1738,2.29476,3.36126,1.74795,4e-05,0.00538,2e-05,0,2.72762,3.97418,2.42569,0.00069307,0.00069307,0.00069307
3,14.4046,2.22255,2.78378,1.77946,0.00108,0.13978,0.00074,0.00017,2.6835,3.97778,2.29071,0.00103901,0.00103901,0.00103901
4,18.6042,2.1543,2.5198,1.71526,0.00108,0.13978,0.00072,0.00015,2.69846,4.06221,2.29254,0.00137783,0.00137783,0.00137783
5,22.7586,2.15884,2.42519,1.78477,0.001,0.12903,0.0006,0.00014,2.65367,4.13851,2.25236,0.00170951,0.00170951,0.00170951
6,26.9771,2.09987,2.2356,1.75376,0.00508,0.65591,0.00705,0.00157,2.71219,4.03884,2.12824,0.001901,0.001901,0.001901
7,31.1807,2.06093,2.22431,1.77776,0.00588,0.75806,0.00643,0.0018,2.50605,3.80572,1.97448,0.0018812,0.0018812,0.0018812
8,35.3841,2.04256,2.08727,1.69921,0.00708,0.91398,0.07695,0.0198,2.06657,3.31594,1.60971,0.0018614,0.0018614,0.0018614
9,39.5626,2.08941,1.98945,1.69388,0.00999,0.81183,0.38049,0.14943,2.19626,2.95078,1.68872,0.0018416,0.0018416,0.0018416
10,43.8055,2.03596,1.82857,1.68029,0.75087,0.4086,0.54273,0.20083,2.13573,2.34924,1.66727,0.0018218,0.0018218,0.0018218
11,48.0044,1.99881,1.80383,1.6832,0.7338,0.42979,0.51977,0.19596,2.06983,2.3568,1.78789,0.001802,0.001802,0.001802
12,52.2315,1.96947,1.73353,1.68415,0.69135,0.49376,0.58321,0.23155,2.02564,1.85099,1.77277,0.0017822,0.0017822,0.0017822
13,56.3197,1.98795,1.69327,1.65676,0.67296,0.56989,0.64015,0.25647,1.99193,1.69334,1.71871,0.0017624,0.0017624,0.0017624
14,60.5087,1.97235,1.67199,1.63648,0.60425,0.36941,0.43532,0.15565,2.14993,2.22339,1.74218,0.0017426,0.0017426,0.0017426
15,64.631,2.02441,1.7235,1.72607,0.49968,0.45104,0.44053,0.17416,2.17134,1.99829,1.74486,0.0017228,0.0017228,0.0017228
16,68.7231,1.97159,1.65466,1.69193,0.65108,0.56452,0.60972,0.23985,2.12136,1.65938,1.86263,0.001703,0.001703,0.001703
17,72.8302,1.97021,1.66583,1.71401,0.76918,0.55914,0.64698,0.25743,2.01232,1.67739,1.84934,0.0016832,0.0016832,0.0016832
18,77.055,2.00035,1.71688,1.71523,0.63363,0.60215,0.59983,0.24404,1.95543,1.62903,1.75316,0.0016634,0.0016634,0.0016634
19,81.0732,1.98272,1.65229,1.68351,0.72276,0.63978,0.69192,0.29093,1.96142,1.53535,1.71861,0.0016436,0.0016436,0.0016436
20,85.21,1.9421,1.5789,1.62361,0.63939,0.65054,0.64443,0.26182,1.98241,1.66188,1.62454,0.0016238,0.0016238,0.0016238
21,89.2465,1.89496,1.51567,1.59001,0.72081,0.66129,0.71647,0.31284,1.91383,1.52427,1.69145,0.001604,0.001604,0.001604
22,93.2977,1.90391,1.49804,1.57417,0.75168,0.63472,0.67745,0.28227,1.92144,1.51748,1.67992,0.0015842,0.0015842,0.0015842
23,97.3535,2.00496,1.55912,1.64863,0.71175,0.60215,0.69037,0.28502,2.01906,1.54001,1.78372,0.0015644,0.0015644,0.0015644
24,101.629,1.91866,1.62072,1.66654,0.71537,0.58103,0.67572,0.28375,1.93544,1.52432,1.77226,0.0015446,0.0015446,0.0015446
25,105.713,1.88472,1.51068,1.60898,0.64565,0.62696,0.66965,0.27688,1.9767,1.47918,1.72627,0.0015248,0.0015248,0.0015248
26,109.741,1.94901,1.42798,1.63455,0.65081,0.59677,0.61689,0.2318,2.1501,1.67515,1.82666,0.001505,0.001505,0.001505
27,113.82,1.94127,1.43934,1.66406,0.62177,0.7043,0.71847,0.30075,1.92444,1.44039,1.73264,0.0014852,0.0014852,0.0014852
28,117.992,1.955,1.44645,1.64177,0.61863,0.47966,0.512,0.18343,2.17618,1.76851,1.82938,0.0014654,0.0014654,0.0014654
29,122.076,1.87904,1.40741,1.58387,0.63299,0.66129,0.65642,0.27336,2.0834,1.54928,1.76967,0.0014456,0.0014456,0.0014456
30,126.262,1.88321,1.37363,1.59596,0.63966,0.60126,0.61745,0.25147,2.17966,1.59522,1.86925,0.0014258,0.0014258,0.0014258
31,130.375,1.8402,1.36599,1.55728,0.69416,0.64516,0.65928,0.27167,2.07005,1.53316,1.72707,0.001406,0.001406,0.001406
32,134.418,1.80733,1.33272,1.50991,0.73372,0.64516,0.71327,0.28856,2.05754,1.45067,1.68448,0.0013862,0.0013862,0.0013862
33,138.594,1.83976,1.28878,1.54676,0.69092,0.60753,0.65852,0.23611,2.23545,1.56469,1.85234,0.0013664,0.0013664,0.0013664
34,142.8,1.85012,1.28202,1.57683,0.67801,0.63978,0.68397,0.28249,2.01908,1.48266,1.77467,0.0013466,0.0013466,0.0013466
