epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.4059,2.43527,4.21062,2.1682,8e-05,0.01075,4e-05,0,2.93485,3.9482,2.72637,0.00034,0.00034,0.00034
2,20.399,2.0133,2.70827,1.74642,0.00146,0.18817,0.00089,0.00023,2.51231,3.93471,2.301,0.00069307,0.00069307,0.00069307
3,28.418,1.92116,2.23615,1.58106,0.71408,0.6129,0.67285,0.24616,1.98865,2.17692,1.51454,0.00103901,0.00103901,0.00103901
4,35.9243,1.91783,2.11891,1.69019,0.47824,0.5125,0.45754,0.13083,2.32977,2.30511,1.9632,0.00137783,0.00137783,0.00137783
5,43.678,1.84582,1.90017,1.63856,0.5874,0.53226,0.53751,0.17678,2.30587,1.87462,2.08032,0.00170951,0.00170951,0.00170951
6,51.5359,1.85337,1.84733,1.67269,0.73295,0.6129,0.70283,0.25186,2.14438,1.95698,1.95736,0.001901,0.001901,0.001901
7,59.1128,1.87094,1.76287,1.65057,0.73745,0.70968,0.79556,0.31814,1.9529,1.67491,1.78316,0.0018812,0.0018812,0.0018812
8,66.9199,1.82323,1.6729,1.58886,0.74248,0.72857,0.77468,0.33865,1.90588,1.44817,1.75232,0.0018614,0.0018614,0.0018614
9,74.8035,1.86224,1.61478,1.66202,0.65037,0.69892,0.71078,0.293,1.99017,1.55936,1.79973,0.0018416,0.0018416,0.0018416
10,82.3503,1.81191,1.58975,1.66211,0.78067,0.71505,0.80855,0.36571,1.86464,1.41973,1.8,0.0018218,0.0018218,0.0018218
11,90.2534,1.78503,1.46057,1.64376,0.74919,0.72043,0.78661,0.3524,1.91664,1.44824,1.84473,0.001802,0.001802,0.001802
12,98.1258,1.77312,1.37669,1.59846,0.6995,0.74731,0.77929,0.34497,1.84206,1.35259,1.76952,0.0017822,0.0017822,0.0017822
