epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.35602,2.64647,4.67651,2.44265,0,0,0,0,2.88112,3.98474,2.67942,0.00034,0.00034,0.00034
2,10.9047,2.13227,3.27123,1.67679,0,0,0,0,2.73945,4.00084,2.56698,0.00069307,0.00069307,0.00069307
3,15.437,2.05256,2.64293,1.72435,8e-05,0.01075,4e-05,1e-05,2.72943,4.01952,2.50059,0.00103901,0.00103901,0.00103901
4,20.1007,1.98229,2.40912,1.64253,0,0,0,0,2.6487,4.019,2.35639,0.00137783,0.00137783,0.00137783
5,24.7817,1.96326,2.23258,1.66871,0,0,0,0,2.73489,3.94855,2.23375,0.00170951,0.00170951,0.00170951
6,29.5893,1.98382,2.16946,1.69334,0.00171,0.22043,0.00104,0.00037,2.61793,3.93843,2.22928,0.001901,0.001901,0.001901
7,34.0445,1.99728,2.21629,1.70929,0.00275,0.35484,0.00187,0.00072,2.24799,3.83771,1.95337,0.0018812,0.0018812,0.0018812
8,38.3848,1.93944,2.00794,1.66466,0.00596,0.76882,0.13352,0.04617,2.18129,3.14644,1.87535,0.0018614,0.0018614,0.0018614
9,43.1712,1.97494,1.96628,1.6849,0.61398,0.18817,0.30402,0.12681,2.08877,2.77823,1.90758,0.0018416,0.0018416,0.0018416
10,47.7283,1.88824,1.76262,1.6308,0.496,0.48387,0.46194,0.18723,2.08253,2.04728,1.85428,0.0018218,0.0018218,0.0018218
11,52.231,1.85329,1.72871,1.59783,0.68968,0.60939,0.63893,0.2672,1.99224,1.73032,1.73734,0.001802,0.001802,0.001802
12,56.548,1.89926,1.63098,1.59545,0.76139,0.60046,0.67689,0.26545,2.05007,1.60269,1.76775,0.0017822,0.0017822,0.0017822
13,61.0595,1.9346,1.67126,1.61539,0.63741,0.55376,0.55594,0.20725,2.12885,1.73245,1.75344,0.0017624,0.0017624,0.0017624
14,65.9804,1.87436,1.63765,1.58672,0.6565,0.6129,0.60754,0.22659,2.0365,1.6807,1.67272,0.0017426,0.0017426,0.0017426
15,70.4282,1.83623,1.57465,1.56138,0.59491,0.52901,0.53322,0.22886,1.96287,1.80363,1.68862,0.0017228,0.0017228,0.0017228
16,74.6855,1.82047,1.51357,1.5377,0.70374,0.60215,0.66171,0.28452,1.98481,1.59311,1.65671,0.001703,0.001703,0.001703
17,79.5334,1.82885,1.48471,1.53931,0.60822,0.58602,0.61579,0.27482,1.96729,1.61028,1.68233,0.0016832,0.0016832,0.0016832
18,84.1863,1.81491,1.48461,1.57443,0.54589,0.46237,0.48706,0.19244,2.0584,1.87008,1.68086,0.0016634,0.0016634,0.0016634
19,88.4717,1.85568,1.47912,1.58666,0.67834,0.58065,0.63554,0.27184,1.99546,1.6051,1.67889,0.0016436,0.0016436,0.0016436
20,93.1914,1.90653,1.49028,1.57945,0.67603,0.52728,0.56769,0.2079,2.23685,1.89256,1.8143,0.0016238,0.0016238,0.0016238
21,97.6664,1.80854,1.45815,1.56478,0.76014,0.56452,0.67201,0.30828,1.92856,1.56704,1.73855,0.001604,0.001604,0.001604
22,102.155,1.7855,1.39706,1.54604,0.5827,0.56452,0.61418,0.26477,2.03925,1.57483,1.75092,0.0015842,0.0015842,0.0015842
23,106.536,1.82181,1.34819,1.52873,0.47261,0.38062,0.37683,0.1499,2.18699,2.14317,1.7161,0.0015644,0.0015644,0.0015644
24,111.217,1.802,1.37443,1.55124,0.6289,0.58313,0.5983,0.25182,2.05833,1.58431,1.7785,0.0015446,0.0015446,0.0015446
25,115.372,1.78276,1.3325,1.51072,0.68259,0.5914,0.63725,0.27823,1.98854,1.59334,1.6968,0.0015248,0.0015248,0.0015248
26,119.945,1.78655,1.28649,1.50099,0.72591,0.58602,0.66811,0.28731,1.95567,1.48316,1.68218,0.001505,0.001505,0.001505
27,124.279,1.7929,1.30476,1.5238,0.72863,0.64516,0.69114,0.31721,1.91521,1.42948,1.63762,0.0014852,0.0014852,0.0014852
28,128.897,1.7914,1.29375,1.51297,0.67056,0.43011,0.52852,0.21841,2.253,2.15402,1.88301,0.0014654,0.0014654,0.0014654
29,133.293,1.7358,1.27458,1.47604,0.70939,0.66667,0.69289,0.30739,1.9507,1.45788,1.69669,0.0014456,0.0014456,0.0014456
30,137.878,1.7624,1.25592,1.49308,0.6126,0.67742,0.65975,0.27619,2.08269,1.53321,1.71721,0.0014258,0.0014258,0.0014258
31,142.151,1.79333,1.24327,1.52677,0.56085,0.62366,0.57655,0.23628,2.15898,1.72236,1.76558,0.001406,0.001406,0.001406
32,146.664,1.78103,1.27618,1.53593,0.66219,0.64289,0.6785,0.2742,2.11268,1.48004,1.77811,0.0013862,0.0013862,0.0013862
33,151.276,1.77057,1.24294,1.51881,0.72561,0.61828,0.68066,0.29942,1.98269,1.45396,1.70228,0.0013664,0.0013664,0.0013664
34,155.45,1.73351,1.24947,1.5025,0.7589,0.65054,0.71761,0.31877,1.96038,1.38965,1.76931,0.0013466,0.0013466,0.0013466
35,159.784,1.7304,1.2057,1.53073,0.70188,0.69617,0.76575,0.34621,1.95673,1.30805,1.77125,0.0013268,0.0013268,0.0013268
36,164.244,1.73121,1.18272,1.49885,0.68329,0.61828,0.66835,0.29579,2.00479,1.44996,1.72901,0.001307,0.001307,0.001307
37,168.739,1.72344,1.15432,1.49704,0.65689,0.69994,0.7086,0.31445,1.96751,1.36054,1.71442,0.0012872,0.0012872,0.0012872
38,173.212,1.73166,1.1889,1.50217,0.73451,0.63978,0.70493,0.31625,2.02139,1.38355,1.75452,0.0012674,0.0012674,0.0012674
39,177.376,1.70452,1.13763,1.46665,0.57668,0.60057,0.59136,0.24078,2.11193,1.60645,1.79184,0.0012476,0.0012476,0.0012476
40,181.814,1.6703,1.11706,1.41671,0.7095,0.73532,0.76081,0.35252,1.96139,1.26055,1.72196,0.0012278,0.0012278,0.0012278
41,185.947,1.63896,1.09308,1.42921,0.74143,0.63441,0.73477,0.33178,1.98307,1.29957,1.70918,0.001208,0.001208,0.001208
42,190.529,1.66522,1.04088,1.42994,0.71915,0.58065,0.64688,0.29972,2.03716,1.73327,1.65537,0.0011882,0.0011882,0.0011882
43,195.017,1.68776,1.08753,1.42301,0.69979,0.6129,0.67458,0.29618,2.00889,1.44679,1.7174,0.0011684,0.0011684,0.0011684
44,199.602,1.64607,1.0642,1.42448,0.63674,0.60215,0.59913,0.24194,2.18944,1.56485,1.73753,0.0011486,0.0011486,0.0011486
45,204.054,1.60726,1.02932,1.39431,0.69931,0.66667,0.68808,0.30227,2.07701,1.36187,1.71547,0.0011288,0.0011288,0.0011288
46,208.483,1.61387,1.02105,1.41351,0.64753,0.67204,0.65432,0.27294,2.08083,1.48324,1.72257,0.001109,0.001109,0.001109
47,212.708,1.59237,0.99526,1.39276,0.70546,0.74194,0.75298,0.33446,2.03213,1.27115,1.72679,0.0010892,0.0010892,0.0010892
