epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.592,2.49352,4.29246,2.14079,0,0,0,0,2.88403,3.93252,2.70751,0.00034,0.00034,0.00034
2,17.577,2.0267,2.7043,1.65994,0.00275,0.35484,0.00216,0.00058,2.60098,3.88409,2.40538,0.00069307,0.00069307,0.00069307
3,24.6545,1.931,2.22804,1.56672,0.81149,0.55376,0.69228,0.2697,1.94229,2.23596,1.58871,0.00103901,0.00103901,0.00103901
4,31.9124,1.9531,2.04667,1.61011,0.62924,0.56572,0.61328,0.23915,2.00337,2.19695,1.5814,0.00137783,0.00137783,0.00137783
5,38.8798,1.94223,2.11101,1.63198,0.55982,0.53226,0.5726,0.24076,1.98575,2.20674,1.79367,0.00170951,0.00170951,0.00170951
6,45.8239,1.88725,1.89488,1.5553,0.73017,0.65591,0.70076,0.25869,2.12561,1.90456,1.91062,0.001901,0.001901,0.001901
7,52.8474,1.87246,1.72039,1.58795,0.77047,0.63441,0.72709,0.27145,2.08401,2.12577,1.91072,0.0018812,0.0018812,0.0018812
8,59.6645,1.82282,1.64503,1.49464,0.76051,0.72043,0.79206,0.34788,1.92578,1.51881,1.59024,0.0018614,0.0018614,0.0018614
9,66.6179,1.80698,1.53617,1.49411,0.84405,0.73118,0.83115,0.3595,1.88888,1.69748,1.65432,0.0018416,0.0018416,0.0018416
10,73.3975,1.77112,1.44988,1.48059,0.8044,0.72043,0.8197,0.37114,1.8665,1.34174,1.60166,0.0018218,0.0018218,0.0018218
11,80.4412,1.7822,1.37664,1.47845,0.67595,0.69892,0.73859,0.29202,1.95918,1.43836,1.61226,0.001802,0.001802,0.001802
12,87.5279,1.74248,1.29561,1.42402,0.76339,0.71505,0.80913,0.34895,1.87171,1.2641,1.56931,0.0017822,0.0017822,0.0017822
13,94.5738,1.76804,1.27788,1.45263,0.78825,0.76055,0.84632,0.3612,1.9238,1.33418,1.64297,0.0017624,0.0017624,0.0017624
14,101.702,1.72031,1.23393,1.42325,0.87789,0.69572,0.84305,0.33088,2.0286,1.28131,1.67354,0.0017426,0.0017426,0.0017426
15,108.547,1.68803,1.20166,1.40128,0.83495,0.76157,0.83849,0.33115,2.00905,1.18122,1.70947,0.0017228,0.0017228,0.0017228
16,115.843,1.68843,1.1845,1.392,0.78905,0.73118,0.80843,0.34022,2.06008,1.19833,1.62179,0.001703,0.001703,0.001703
17,122.848,1.74602,1.14661,1.45044,0.79045,0.77066,0.82446,0.34162,1.93209,1.33793,1.64794,0.0016832,0.0016832,0.0016832
18,129.768,1.66852,1.15243,1.38899,0.82665,0.73656,0.84949,0.37929,1.94206,1.13819,1.5718,0.0016634,0.0016634,0.0016634
19,136.665,1.6791,1.09308,1.38208,0.84079,0.76659,0.86028,0.37102,1.91933,1.12646,1.61995,0.0016436,0.0016436,0.0016436
20,143.687,1.71304,1.11255,1.40079,0.81588,0.78495,0.87257,0.37884,1.90681,1.08128,1.54088,0.0016238,0.0016238,0.0016238
21,150.643,1.7151,1.0995,1.4002,0.81966,0.74731,0.85444,0.36745,1.959,1.10253,1.58642,0.001604,0.001604,0.001604
22,157.644,1.66277,1.06392,1.3895,0.83982,0.7329,0.82128,0.33884,1.95987,1.09667,1.65609,0.0015842,0.0015842,0.0015842
23,164.279,1.66344,1.05087,1.39676,0.82019,0.7043,0.84376,0.3867,1.90302,1.15466,1.60288,0.0015644,0.0015644,0.0015644
24,171.302,1.64125,1.02599,1.38265,0.8205,0.78643,0.85862,0.40402,1.90477,1.05341,1.57926,0.0015446,0.0015446,0.0015446
25,178.235,1.64428,0.98954,1.37275,0.80856,0.74936,0.83379,0.38529,1.92941,1.07192,1.58493,0.0015248,0.0015248,0.0015248
26,185.369,1.60142,0.98744,1.35741,0.8584,0.79032,0.86606,0.40748,1.90906,1.06698,1.58422,0.001505,0.001505,0.001505
27,192.134,1.63718,0.97389,1.362,0.81988,0.66074,0.76986,0.32597,2.13068,1.223,1.71677,0.0014852,0.0014852,0.0014852
28,199.084,1.67199,1.00145,1.37768,0.84009,0.73656,0.85419,0.39834,1.82759,1.1612,1.56092,0.0014654,0.0014654,0.0014654
29,205.901,1.57666,0.94431,1.32869,0.90513,0.75269,0.88055,0.39076,1.906,1.0625,1.57481,0.0014456,0.0014456,0.0014456
30,212.858,1.58,0.91912,1.35455,0.79649,0.80645,0.85013,0.3903,1.91668,1.04828,1.59861,0.0014258,0.0014258,0.0014258
31,219.716,1.55761,0.91099,1.33076,0.80988,0.77419,0.86534,0.39162,1.90912,1.10794,1.62014,0.001406,0.001406,0.001406
32,226.687,1.50232,0.9177,1.29415,0.7899,0.78834,0.84309,0.38169,1.94059,1.0153,1.55776,0.0013862,0.0013862,0.0013862
33,233.559,1.57636,0.88698,1.29162,0.76441,0.8172,0.85196,0.36659,1.93344,1.04521,1.60486,0.0013664,0.0013664,0.0013664
34,240.566,1.53761,0.90321,1.30768,0.8439,0.81381,0.88138,0.3922,1.94335,1.01005,1.64068,0.0013466,0.0013466,0.0013466
35,247.371,1.55314,0.86139,1.32006,0.77895,0.82258,0.87967,0.41151,1.96054,0.95156,1.62324,0.0013268,0.0013268,0.0013268
36,254.404,1.53677,0.87274,1.3045,0.83136,0.7957,0.87779,0.40753,1.95106,0.97113,1.58659,0.001307,0.001307,0.001307
37,261.347,1.48979,0.83067,1.27744,0.84068,0.77419,0.88121,0.39821,1.98181,0.99687,1.6087,0.0012872,0.0012872,0.0012872
38,268.407,1.56961,0.86136,1.31271,0.80007,0.8821,0.92045,0.41021,1.9687,0.94955,1.62648,0.0012674,0.0012674,0.0012674
39,275.456,1.53647,0.83793,1.30579,0.83004,0.75806,0.84517,0.37879,2.01426,1.01854,1.6245,0.0012476,0.0012476,0.0012476
40,282.391,1.48786,0.82444,1.27792,0.83887,0.75573,0.86528,0.3784,2.00694,1.01617,1.60973,0.0012278,0.0012278,0.0012278
41,289.244,1.51305,0.8091,1.28971,0.83077,0.84455,0.89282,0.3949,1.96297,0.91736,1.66545,0.001208,0.001208,0.001208
42,296.412,1.45802,0.78414,1.26821,0.78129,0.77957,0.857,0.38206,1.96999,1.01056,1.66781,0.0011882,0.0011882,0.0011882
43,303.39,1.46604,0.78418,1.29074,0.8165,0.78945,0.85061,0.39429,2.0037,0.93688,1.66868,0.0011684,0.0011684,0.0011684
44,310.456,1.45642,0.77847,1.27095,0.82862,0.75383,0.84395,0.3951,1.94825,0.96687,1.62224,0.0011486,0.0011486,0.0011486
45,317.136,1.42624,0.7535,1.23616,0.87663,0.78495,0.87002,0.40235,2.00296,0.94484,1.63904,0.0011288,0.0011288,0.0011288
46,323.938,1.43273,0.75907,1.24431,0.84702,0.8172,0.8765,0.38951,2.01552,0.97448,1.6658,0.001109,0.001109,0.001109
47,331.119,1.43743,0.7461,1.26629,0.85452,0.8211,0.88628,0.39072,1.94306,1.02859,1.6239,0.0010892,0.0010892,0.0010892
48,338.009,1.40738,0.74141,1.23198,0.81907,0.82258,0.86834,0.3871,1.98279,0.95036,1.59044,0.0010694,0.0010694,0.0010694
