epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,29.9245,2.84608,4.19785,2.37149,0.00271,0.34946,0.00184,0.00057,2.39703,3.87619,2.1351,0.00102,0.00034,0.00102,0.00034,0.00102,0.00034,0.00102,0.00034
2,35.3334,2.39727,3.84494,2.05091,0.00517,0.66667,0.00701,0.00228,2.11801,3.63442,1.76917,0.00205842,0.00068614,0.00205842,0.00068614,0.00205842,0.00068614,0.00205842,0.00068614
3,40.9128,2.17508,3.04759,1.84645,0.00658,0.84946,0.01266,0.00485,1.89847,3.35523,1.50968,0.00305407,0.00101802,0.00305407,0.00101802,0.00305407,0.00101802,0.00305407,0.00101802
4,45.9417,2.07536,2.30962,1.80428,0.00733,0.94624,0.12497,0.03945,1.96147,3.07687,1.55567,0.00400696,0.00133565,0.00400696,0.00133565,0.00400696,0.00133565,0.00400696,0.00133565
5,50.8835,1.92068,2.08096,1.65536,0.87707,0.19183,0.60985,0.22285,1.81329,2.67331,1.61403,0.00491707,0.00163902,0.00491707,0.00163902,0.00491707,0.00163902,0.00491707,0.00163902
6,55.8745,1.85317,1.93913,1.59847,0.83583,0.6022,0.73212,0.27349,1.83449,2.32037,1.57589,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
7,60.6454,1.88281,1.76709,1.55996,0.81466,0.61441,0.70819,0.25545,1.94443,2.11828,1.54381,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
8,65.4192,1.76781,1.66884,1.50216,0.79097,0.65054,0.7351,0.26891,2.09832,1.85689,1.63205,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
9,70.0357,1.80991,1.60411,1.51335,0.7369,0.73786,0.81321,0.34423,1.88903,1.63613,1.56408,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
10,74.9911,1.72178,1.54183,1.43308,0.72113,0.76464,0.80659,0.32997,1.96782,1.5834,1.62227,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
11,79.7846,1.76002,1.45129,1.39764,0.80398,0.70566,0.82996,0.34467,1.98223,1.45217,1.63535,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
12,84.6341,1.71395,1.4289,1.39166,0.84566,0.74731,0.85305,0.40273,1.82633,1.30213,1.54231,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
13,89.2028,1.66621,1.38521,1.34336,0.85348,0.72043,0.85788,0.40185,1.81548,1.25507,1.54029,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
14,94.2023,1.67605,1.31764,1.33175,0.84829,0.73656,0.85716,0.41232,1.82151,1.21799,1.5221,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
15,98.9218,1.72449,1.32504,1.37835,0.78124,0.80645,0.85694,0.4059,1.80709,1.20638,1.50396,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
16,103.928,1.62277,1.24146,1.32639,0.81308,0.77176,0.85436,0.40266,1.81674,1.21943,1.49132,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
17,108.725,1.63394,1.2277,1.30324,0.86853,0.74588,0.87208,0.40616,1.80649,1.16959,1.50748,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
18,113.608,1.61698,1.17186,1.30454,0.83215,0.76882,0.86767,0.41189,1.79687,1.12815,1.51239,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
19,118.319,1.60083,1.12832,1.28194,0.82571,0.76882,0.87736,0.40678,1.81913,1.12701,1.52402,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
20,123.244,1.59625,1.10439,1.26609,0.88796,0.74194,0.8694,0.41346,1.80717,1.10194,1.50326,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
21,127.998,1.56265,1.08461,1.26261,0.8166,0.78495,0.85607,0.40401,1.82206,1.06359,1.50828,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
22,132.89,1.5711,1.06835,1.26011,0.84787,0.74913,0.85823,0.41363,1.83267,1.07773,1.52192,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
23,137.579,1.51375,1.05425,1.23098,0.88226,0.73656,0.85367,0.41713,1.8333,1.06144,1.51875,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
24,142.501,1.49977,1.01873,1.24091,0.754,0.85484,0.85154,0.38316,1.89983,1.06967,1.56068,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
25,147.324,1.50346,0.97328,1.22373,0.77778,0.86562,0.8545,0.38692,1.88509,1.04752,1.53251,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
26,152.261,1.55577,1.00624,1.21937,0.85586,0.76614,0.84633,0.38794,1.91294,1.01193,1.53612,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
27,156.907,1.51178,0.97131,1.20045,0.83937,0.80645,0.8672,0.39531,1.89662,0.99729,1.53317,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
28,161.87,1.47309,0.9547,1.19762,0.82774,0.80645,0.86583,0.4085,1.88096,1.00718,1.49192,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308
29,166.631,1.47088,0.94211,1.2003,0.85393,0.76882,0.86072,0.40333,1.84557,1.00574,1.48194,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
30,171.594,1.47844,0.9407,1.1923,0.88376,0.76882,0.84884,0.40075,1.85601,1.01678,1.48624,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
31,176.354,1.43008,0.90519,1.17417,0.82928,0.80957,0.87,0.39338,1.90065,1.02508,1.54102,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
32,181.366,1.41239,0.92269,1.14895,0.8298,0.78634,0.86835,0.3857,1.9074,1.01963,1.56531,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
