epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,8.34803,3.23282,4.44683,2.64824,0.00104,0.13441,0.0006,0.00018,2.54017,4.07672,2.47845,0.00102,0.00034,0.00102,0.00034,0.00102,0.00034,0.00102,0.00034
2,13.6946,2.7138,4.22507,2.30524,0.00325,0.41935,0.00257,0.00094,2.29014,3.91336,2.13759,0.00205842,0.00068614,0.00205842,0.00068614,0.00205842,0.00068614,0.00205842,0.00068614
3,19.2062,2.36591,3.85906,1.91044,0.00604,0.77957,0.00813,0.00286,2.18401,3.64945,1.75104,0.00305407,0.00101802,0.00305407,0.00101802,0.00305407,0.00101802,0.00305407,0.00101802
4,24.1134,2.18774,3.44297,1.6918,0.00633,0.8172,0.01381,0.00509,1.98855,3.46648,1.67489,0.00400696,0.00133565,0.00400696,0.00133565,0.00400696,0.00133565,0.00400696,0.00133565
5,28.7738,2.15282,2.75513,1.71109,0.91418,0.05737,0.40207,0.13929,2.00815,2.92615,1.82201,0.00491707,0.00163902,0.00491707,0.00163902,0.00491707,0.00163902,0.00491707,0.00163902
6,33.4703,2.16589,2.36695,1.70141,0.52422,0.3172,0.33697,0.11062,2.05897,2.79522,1.75038,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
7,38.0355,2.16209,2.28608,1.62673,0.34721,0.2345,0.23328,0.07379,2.10501,2.80555,1.77143,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
8,42.7618,2.01377,2.14457,1.57701,0.54762,0.5,0.45878,0.1501,2.08023,2.26984,1.7322,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
9,47.2475,2.03814,2.07962,1.58744,0.61349,0.53762,0.54334,0.20747,1.99396,2.27157,1.6624,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
10,52.0308,1.96517,1.96974,1.50701,0.58321,0.55376,0.55105,0.20928,2.03734,2.1221,1.64578,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
11,56.561,1.96191,1.85008,1.47635,0.66683,0.51651,0.58986,0.20855,2.0892,2.16952,1.66334,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
12,61.2804,1.95311,1.83664,1.48437,0.65794,0.66185,0.67373,0.26836,1.95579,1.87838,1.59586,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
13,65.864,1.90008,1.79052,1.44082,0.671,0.6828,0.71149,0.26097,1.97711,1.74437,1.56222,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
14,70.5501,1.93568,1.69854,1.42221,0.78846,0.60215,0.69348,0.29255,1.95135,1.69682,1.56192,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
15,75.01,1.91292,1.67221,1.4554,0.7299,0.63928,0.6747,0.27962,1.97273,1.70379,1.55177,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
16,79.7244,1.85641,1.61244,1.4338,0.72185,0.62788,0.6854,0.2924,1.9757,1.63922,1.55183,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
17,84.1837,1.86902,1.58503,1.40421,0.75818,0.67742,0.72686,0.31451,1.97049,1.58227,1.54127,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
18,88.7442,1.87482,1.55633,1.40639,0.68469,0.66667,0.69259,0.3195,1.98509,1.55483,1.54371,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
19,93.189,1.87521,1.53771,1.40825,0.73299,0.69355,0.73682,0.32485,1.98361,1.4491,1.51682,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
20,97.8625,1.85302,1.48561,1.38617,0.76193,0.69892,0.75182,0.32318,1.97505,1.42163,1.51376,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
21,102.442,1.8032,1.45527,1.36764,0.72681,0.7043,0.73251,0.30947,1.99753,1.44617,1.51304,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
22,107.058,1.78909,1.41048,1.35119,0.70932,0.68817,0.7072,0.31769,1.97004,1.43634,1.51046,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
23,111.586,1.7817,1.37396,1.33041,0.73429,0.69892,0.73924,0.32674,1.9819,1.37934,1.49088,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
24,116.311,1.75667,1.3725,1.34276,0.69622,0.7043,0.71898,0.30038,2.01605,1.42561,1.52678,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
25,120.787,1.76247,1.3529,1.33903,0.71809,0.71213,0.72373,0.29784,2.04631,1.38318,1.53794,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
26,125.411,1.81822,1.37451,1.3421,0.70521,0.64516,0.6898,0.29159,2.07505,1.45416,1.52953,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
27,129.821,1.77919,1.33652,1.33366,0.69253,0.67204,0.68871,0.29731,2.07069,1.41584,1.53953,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
28,134.388,1.74198,1.28837,1.32,0.67783,0.61084,0.6565,0.28017,2.07423,1.50625,1.5454,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308
29,138.862,1.71271,1.28952,1.31444,0.68386,0.68817,0.7227,0.2847,2.09396,1.38354,1.55951,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
30,143.44,1.71668,1.24301,1.30297,0.68925,0.7155,0.72488,0.27725,2.14872,1.32427,1.5805,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
31,147.918,1.7272,1.22425,1.30206,0.68541,0.72043,0.72204,0.27585,2.16893,1.34872,1.57959,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
