epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,47.2435,2.78861,4.17549,2.32102,0.00333,0.43011,0.00344,0.00097,2.40017,3.85863,2.1352,0.00102,0.00034,0.00102,0.00034,0.00102,0.00034,0.00102,0.00034
2,55.0777,2.38087,3.85974,1.98934,0.00554,0.71505,0.01028,0.0033,2.12219,3.60282,1.74389,0.00205842,0.00068614,0.00205842,0.00068614,0.00205842,0.00068614,0.00205842,0.00068614
3,69.423,2.13353,3.10592,1.75968,0.00679,0.87634,0.01768,0.00609,1.89592,3.2986,1.51524,0.00305407,0.00101802,0.00305407,0.00101802,0.00305407,0.00101802,0.00305407,0.00101802
4,86.7923,1.99592,2.33034,1.71952,0.00725,0.93548,0.07609,0.03168,1.8164,3.00134,1.55728,0.00400696,0.00133565,0.00400696,0.00133565,0.00400696,0.00133565,0.00400696,0.00133565
5,102.737,1.87636,2.04947,1.61543,0.81968,0.04839,0.56749,0.23164,1.79809,2.63286,1.60607,0.00491707,0.00163902,0.00491707,0.00163902,0.00491707,0.00163902,0.00491707,0.00163902
6,120.509,1.82228,1.905,1.56902,0.78704,0.61828,0.71277,0.28523,1.85696,2.23622,1.61476,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
7,135.767,1.7876,1.74371,1.49893,0.80172,0.65217,0.75205,0.28606,1.85537,1.97719,1.59326,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
8,153.554,1.75821,1.64367,1.46484,0.75823,0.60753,0.64533,0.18817,2.1248,1.93325,1.68095,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
9,169.281,1.77177,1.59008,1.47634,0.74717,0.69355,0.76163,0.29652,1.88377,1.62583,1.61325,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
10,187.443,1.71542,1.54581,1.42525,0.74689,0.74565,0.7756,0.32179,1.9015,1.59943,1.58472,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
11,202.797,1.6977,1.44307,1.36732,0.74087,0.73656,0.74824,0.30417,1.93026,1.58953,1.62234,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
12,220.676,1.64052,1.37533,1.33852,0.81068,0.74731,0.81338,0.3704,1.8439,1.37935,1.55805,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
13,235.801,1.62636,1.3447,1.32486,0.7881,0.77419,0.83992,0.36519,1.87883,1.33152,1.56318,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
14,253.648,1.64153,1.28166,1.31336,0.87849,0.73856,0.84862,0.38247,1.82878,1.32854,1.52102,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
15,268.529,1.60846,1.24896,1.31622,0.85475,0.76344,0.84582,0.37867,1.83026,1.29344,1.49827,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
16,285.821,1.59334,1.22264,1.29589,0.86591,0.72912,0.84036,0.36921,1.85651,1.28309,1.51225,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
17,301.123,1.57452,1.18576,1.25848,0.79008,0.80645,0.84334,0.37986,1.86147,1.23141,1.5179,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
18,319.081,1.56347,1.15354,1.26062,0.85173,0.77208,0.85661,0.39419,1.85438,1.14519,1.50234,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
19,333.745,1.51981,1.09691,1.24959,0.85021,0.74731,0.84874,0.38959,1.88943,1.16874,1.5066,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
20,351.404,1.53843,1.08649,1.23033,0.8453,0.76383,0.85318,0.40223,1.85289,1.13251,1.4971,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
21,366.711,1.5067,1.0443,1.21444,0.8574,0.78495,0.86946,0.39994,1.86657,1.11816,1.53143,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
22,384.558,1.46718,1.02073,1.21678,0.83887,0.81169,0.8809,0.41384,1.85934,1.06395,1.49965,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
23,399.472,1.51154,1.02549,1.20428,0.86779,0.77638,0.88376,0.40835,1.88265,1.06693,1.52163,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
24,417.055,1.4783,0.99596,1.21147,0.91429,0.76882,0.89214,0.39926,1.92301,1.05552,1.54776,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
25,432.599,1.42263,0.96131,1.18108,0.88647,0.7957,0.89765,0.40621,1.87235,1.04731,1.49082,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
26,448.872,1.47527,0.99138,1.17882,0.8551,0.7957,0.88459,0.39536,1.86779,1.02919,1.49236,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
27,464.915,1.42322,0.94109,1.15472,0.849,0.81619,0.88112,0.37411,1.91126,1.05939,1.53593,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
28,481.399,1.4123,0.9466,1.17384,0.88843,0.77062,0.8831,0.3907,1.8998,1.03259,1.5059,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308
29,497.685,1.36369,0.89779,1.14615,0.87966,0.78495,0.88672,0.40098,1.90589,1.01312,1.49624,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
30,514.444,1.3588,0.88296,1.13267,0.86859,0.80108,0.87972,0.40397,1.87729,1.01725,1.48248,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
31,530.14,1.36327,0.88454,1.13696,0.86083,0.81183,0.87179,0.39678,1.89354,1.00606,1.48888,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
32,546.914,1.34152,0.86058,1.12312,0.85099,0.82899,0.88865,0.38045,1.92235,1.03363,1.52933,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
33,563.063,1.35612,0.86038,1.12394,0.85182,0.83871,0.8834,0.38836,1.91008,1.00294,1.51291,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
