epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,28.0507,1.89682,4.1608,1.64159,0.00417,0.41529,0.00362,0.00168,1.38324,3.78041,1.34571,0.00085017,0.00028339,0.00085017,0.00028339,0.00085017,0.00028339,0.00085017,0.00028339
2,41.143,1.53677,3.86316,1.35894,0.00758,0.6736,0.01213,0.00529,1.26227,3.56799,1.13164,0.00171569,0.000571898,0.00171569,0.000571898,0.00171569,0.000571898,0.00171569,0.000571898
3,54.4993,1.36393,3.26691,1.1754,0.01019,0.84106,0.05432,0.02046,1.21938,3.33693,1.05242,0.00254557,0.000848523,0.00254557,0.000848523,0.00254557,0.000848523,0.00254557,0.000848523
4,67.2087,1.33007,2.40956,1.15765,0.46215,0.20561,0.35728,0.19901,1.36837,2.74955,1.14393,0.0033398,0.00111327,0.0033398,0.00111327,0.0033398,0.00111327,0.0033398,0.00111327
5,78.9073,1.33408,1.88714,1.18387,0.3311,0.48886,0.36474,0.22238,1.30406,2.18246,1.09414,0.00409838,0.00136613,0.00409838,0.00136613,0.00409838,0.00136613,0.00409838,0.00136613
6,89.7069,1.26405,1.74784,1.09529,0.33585,0.58042,0.40508,0.26098,1.24453,1.82722,1.04946,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197
7,100.633,1.21564,1.61192,1.06619,0.41759,0.65213,0.4896,0.31092,1.19391,1.57193,1.05015,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896
8,110.709,1.17016,1.5496,1.06921,0.56337,0.6018,0.58302,0.38804,1.16822,1.44302,1.05974,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595
9,121.649,1.16065,1.44478,1.06548,0.60338,0.61882,0.62139,0.40177,1.1874,1.40092,1.07051,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295
10,132.374,1.1192,1.41171,1.05169,0.71246,0.66752,0.72617,0.47529,1.11351,1.28246,1.05813,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994
11,143.401,1.13793,1.35411,1.0296,0.67748,0.76178,0.77932,0.50523,1.1243,1.21112,1.06535,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693
12,153.694,1.11682,1.27957,1.03804,0.72738,0.66384,0.75816,0.50495,1.10887,1.19541,1.06047,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393
13,164.143,1.07372,1.21786,1.02714,0.74537,0.70322,0.78175,0.52062,1.08889,1.15833,1.05296,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092
14,174.78,1.08026,1.11537,1.02419,0.89035,0.70272,0.81764,0.54567,1.09377,1.05431,1.0489,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791
