epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,8.06537,3.17877,4.54103,2.65609,0.00108,0.13978,0.00063,0.00016,2.54415,4.07615,2.47051,0.00102,0.00034,0.00102,0.00034,0.00102,0.00034,0.00102,0.00034
2,13.761,2.76872,4.25334,2.34571,0.00258,0.33333,0.00174,0.00053,2.34736,3.93983,2.20575,0.00207921,0.00069307,0.00207921,0.00069307,0.00207921,0.00069307,0.00207921,0.00069307
3,19.8512,2.43435,3.99459,1.94512,0.00508,0.65591,0.00492,0.00178,2.14664,3.70443,1.82651,0.00311704,0.00103901,0.00311704,0.00103901,0.00311704,0.00103901,0.00311704,0.00103901
4,25.4609,2.23683,3.54481,1.66838,0.00633,0.8172,0.08823,0.0254,2.09862,3.4416,1.60303,0.00413348,0.00137783,0.00413348,0.00137783,0.00413348,0.00137783,0.00413348,0.00137783
5,30.7191,2.10712,2.88567,1.61286,0.57318,0.12998,0.27031,0.08675,2.04443,3.03454,1.60516,0.00512854,0.00170951,0.00512854,0.00170951,0.00512854,0.00170951,0.00512854,0.00170951
6,36.3421,2.17194,2.41607,1.65425,0.38133,0.25269,0.26277,0.07319,2.22571,2.78315,1.71319,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901
7,41.5402,2.10418,2.25189,1.55073,0.25545,0.23656,0.1583,0.03961,2.52814,2.79092,1.81009,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
8,46.6786,1.98802,2.21098,1.55893,0.51929,0.5,0.48989,0.16412,2.15543,2.5132,1.77968,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614
9,51.9589,2.03251,2.09353,1.55816,0.7687,0.47849,0.60393,0.24039,1.95764,2.20772,1.71149,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
10,57.4935,1.97066,2.05112,1.5294,0.57527,0.58065,0.55731,0.2045,2.02023,2.45136,1.71716,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218
