epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,8.86184,2.79442,4.20586,2.34961,0.0025,0.32258,0.00238,0.00079,2.35918,3.90307,2.17694,0.00102,0.00034,0.00102,0.00034,0.00102,0.00034,0.00102,0.00034
2,15.1366,2.42964,3.85189,1.99948,0.00517,0.66667,0.00893,0.00304,2.1088,3.6342,1.76123,0.00207921,0.00069307,0.00207921,0.00069307,0.00207921,0.00069307,0.00207921,0.00069307
3,21.3141,2.17198,3.3019,1.73628,0.007,0.90323,0.01582,0.00557,1.9025,3.37823,1.51096,0.00311704,0.00103901,0.00311704,0.00103901,0.00311704,0.00103901,0.00311704,0.00103901
4,26.9545,2.08095,2.39315,1.71006,0.00742,0.95699,0.12379,0.03947,1.88076,3.04853,1.49317,0.00413348,0.00137783,0.00413348,0.00137783,0.00413348,0.00137783,0.00413348,0.00137783
5,32.5848,1.92851,2.09839,1.58073,0.87636,0.19058,0.57194,0.18769,1.90042,2.76667,1.49161,0.00512854,0.00170951,0.00512854,0.00170951,0.00512854,0.00170951,0.00512854,0.00170951
6,38.9533,1.91896,1.90532,1.50103,0.83904,0.61655,0.71937,0.27847,1.93757,2.29178,1.54377,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901
7,44.5935,1.84972,1.80249,1.40752,0.70486,0.60753,0.68405,0.2313,2.10627,2.14488,1.63675,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
8,50.4571,1.75308,1.69233,1.40265,0.84231,0.66667,0.77643,0.30088,1.97555,1.72239,1.5964,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614
9,56.0132,1.79947,1.60611,1.37901,0.81371,0.69355,0.77034,0.32887,1.94334,1.57362,1.53739,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
10,62.1385,1.78149,1.4845,1.37955,0.80707,0.57527,0.70285,0.2559,2.08374,1.63576,1.67482,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218
