epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,8.01662,3.10502,4.52612,2.70358,0.00071,0.0914,0.0004,0.0001,2.6129,4.06889,2.51467,0.00102,0.00034,0.00102,0.00034,0.00102,0.00034,0.00102,0.00034
2,13.7794,2.71069,4.21027,2.3204,0.0025,0.32258,0.0017,0.00051,2.40289,3.94245,2.24775,0.00207921,0.00069307,0.00207921,0.00069307,0.00207921,0.00069307,0.00207921,0.00069307
3,19.6823,2.34866,3.94999,1.91184,0.00562,0.72581,0.00699,0.00249,2.16183,3.64947,1.76634,0.00311704,0.00103901,0.00311704,0.00103901,0.00311704,0.00103901,0.00311704,0.00103901
4,25.0967,2.17407,3.53705,1.66988,0.00637,0.82258,0.01673,0.00548,1.98713,3.51639,1.67065,0.00413348,0.00137783,0.00413348,0.00137783,0.00413348,0.00137783,0.00413348,0.00137783
5,30.0433,2.02838,2.94611,1.56048,0.00696,0.89785,0.18542,0.06818,2.03876,3.24202,1.675,0.00512854,0.00170951,0.00512854,0.00170951,0.00512854,0.00170951,0.00512854,0.00170951
6,35.3208,2.08597,2.43614,1.58429,0.61649,0.55914,0.53428,0.17744,2.11459,2.41261,1.67249,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901
7,40.3136,2.03018,2.27274,1.52969,0.52604,0.43548,0.38873,0.11389,2.29449,2.59343,1.73185,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
8,45.533,1.90787,2.12631,1.49754,0.64687,0.57121,0.566,0.1917,2.17749,2.25608,1.68562,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614
9,50.4987,1.94115,2.02174,1.48979,0.5184,0.40323,0.44329,0.17489,2.02205,2.32792,1.71758,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
10,55.7645,1.89903,1.94548,1.47431,0.49502,0.50595,0.42891,0.135,2.09038,2.35148,1.72297,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218
11,60.7939,1.84518,1.79103,1.42874,0.67576,0.58267,0.6261,0.26362,1.93971,2.05784,1.60004,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
12,66.1273,1.86932,1.74763,1.41818,0.64116,0.66283,0.65594,0.27196,1.8762,1.7717,1.50116,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822
13,71.0553,1.81217,1.72899,1.41384,0.70637,0.63978,0.6893,0.31901,1.82594,1.70177,1.48647,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
14,76.6968,1.82376,1.70092,1.41007,0.67317,0.64516,0.65893,0.26629,1.95085,1.6871,1.53833,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426
15,81.525,1.74906,1.58139,1.37716,0.71007,0.67742,0.71214,0.31953,1.90766,1.60471,1.53567,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
16,86.8692,1.78412,1.54308,1.36229,0.69028,0.62903,0.69396,0.31671,1.91005,1.49368,1.4921,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703
17,92.5606,1.74659,1.47133,1.32989,0.63471,0.6129,0.60223,0.23567,2.05301,1.78201,1.63359,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
18,98.499,1.78115,1.49262,1.36866,0.67582,0.62765,0.68452,0.30677,1.9377,1.58556,1.50912,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634
19,103.345,1.74784,1.44063,1.32385,0.64077,0.64254,0.6781,0.31632,1.92462,1.50443,1.51267,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
20,108.834,1.73206,1.39679,1.33045,0.74678,0.63424,0.70676,0.31462,1.97487,1.44661,1.53316,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238
21,113.886,1.71444,1.36038,1.30435,0.66505,0.60215,0.60425,0.24547,2.08961,1.75724,1.62784,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
22,119.196,1.69891,1.38808,1.31069,0.7573,0.62072,0.71431,0.32612,1.96452,1.42705,1.52128,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842
23,124.113,1.70873,1.2944,1.29405,0.70648,0.68817,0.72893,0.33498,1.93918,1.35267,1.47977,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
24,129.338,1.67298,1.26865,1.28754,0.70647,0.64516,0.71178,0.32306,1.9806,1.38595,1.48787,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446
25,133.961,1.70332,1.25308,1.29451,0.74964,0.62366,0.68691,0.29804,2.05383,1.42646,1.53913,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
26,139.588,1.66646,1.25508,1.27194,0.72157,0.64092,0.69714,0.30168,1.99451,1.44552,1.48978,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505
