epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.39099,2.46006,3.77756,1.90709,0.00462,0.59677,0.01709,0.00657,2.36989,3.59221,1.62581,0.00034,0.00034,0.00034
2,14.0685,2.0425,2.23118,1.48176,0.00733,0.94624,0.25871,0.0948,2.05765,3.20237,1.40977,0.00069307,0.00069307,0.00069307
3,19.69,1.95554,2.03214,1.46707,0.0075,0.96774,0.15931,0.03548,2.28358,3.13224,1.6794,0.00103901,0.00103901,0.00103901
4,25.6997,1.98917,1.90335,1.53847,0.00754,0.97312,0.39583,0.15021,1.90656,2.87227,1.45491,0.00137783,0.00137783,0.00137783
5,31.6456,1.82192,1.74055,1.45056,0.00746,0.96237,0.15122,0.03446,2.4634,2.97009,2.06603,0.00170951,0.00170951,0.00170951
6,37.77,1.90792,1.64744,1.50627,0.4646,0.28495,0.29991,0.09907,2.18272,2.65335,1.94456,0.001901,0.001901,0.001901
7,43.6515,1.86692,1.5817,1.43955,0.60561,0.39247,0.43019,0.11805,2.5201,2.51254,2.01124,0.0018812,0.0018812,0.0018812
8,49.0149,1.84647,1.57693,1.47165,0.64046,0.53226,0.53754,0.17508,2.2799,2.0511,1.70948,0.0018614,0.0018614,0.0018614
9,55.0317,1.7959,1.48975,1.43498,0.71482,0.60215,0.70632,0.27548,2.07899,1.64572,1.57895,0.0018416,0.0018416,0.0018416
10,60.8057,1.85071,1.42697,1.47947,0.6839,0.62815,0.64658,0.21049,2.25334,1.63895,1.87595,0.0018218,0.0018218,0.0018218
11,66.1208,1.74915,1.3667,1.41851,0.82596,0.66339,0.79461,0.34589,1.93686,1.37905,1.61669,0.001802,0.001802,0.001802
12,71.8828,1.76007,1.33079,1.41125,0.66318,0.64516,0.65371,0.23044,2.0464,1.58192,1.72814,0.0017822,0.0017822,0.0017822
13,77.6158,1.74573,1.29597,1.39585,0.78458,0.70492,0.81701,0.36918,1.86744,1.27074,1.53787,0.0017624,0.0017624,0.0017624
14,83.7336,1.7538,1.26025,1.40086,0.79528,0.75187,0.85208,0.35932,1.96122,1.28923,1.6177,0.0017426,0.0017426,0.0017426
15,89.3229,1.75976,1.25064,1.41739,0.74183,0.75806,0.80129,0.32993,2.01309,1.31324,1.61293,0.0017228,0.0017228,0.0017228
16,94.9383,1.71459,1.23415,1.39581,0.76237,0.67742,0.77326,0.34794,1.90227,1.2876,1.59794,0.001703,0.001703,0.001703
17,100.807,1.69869,1.12026,1.36506,0.71218,0.78495,0.779,0.33727,1.93604,1.21827,1.64814,0.0016832,0.0016832,0.0016832
18,106.795,1.75167,1.20642,1.42264,0.74865,0.80108,0.82038,0.35857,1.94431,1.2514,1.63688,0.0016634,0.0016634,0.0016634
19,112.304,1.70673,1.16984,1.37111,0.81041,0.76882,0.83285,0.36259,1.94022,1.28249,1.61714,0.0016436,0.0016436,0.0016436
20,118.347,1.6589,1.05701,1.35737,0.83112,0.73118,0.86179,0.39949,1.87692,1.09607,1.55326,0.0016238,0.0016238,0.0016238
21,124.079,1.63928,1.06919,1.33324,0.85333,0.71945,0.84979,0.39184,1.87681,1.16259,1.56708,0.001604,0.001604,0.001604
22,129.915,1.67307,1.11069,1.37015,0.83117,0.75806,0.85441,0.39609,1.86988,1.10213,1.55131,0.0015842,0.0015842,0.0015842
23,135.598,1.64637,1.05791,1.32795,0.77715,0.74731,0.83549,0.35176,1.90924,1.27654,1.58611,0.0015644,0.0015644,0.0015644
24,141.577,1.62835,1.02252,1.34482,0.77012,0.80108,0.85848,0.38315,1.98846,1.06811,1.60516,0.0015446,0.0015446,0.0015446
25,146.973,1.63551,0.99626,1.33065,0.8392,0.74731,0.84103,0.39549,1.87168,1.17916,1.55712,0.0015248,0.0015248,0.0015248
26,152.876,1.63803,1.03713,1.32502,0.83631,0.76909,0.84715,0.38683,1.92295,1.1039,1.56199,0.001505,0.001505,0.001505
