epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,27.8173,1.90736,4.14153,1.65784,0.00179,0.30821,0.00176,0.00079,1.39068,3.79607,1.35838,0.00085017,0.00028339,0.00085017,0.00028339,0.00085017,0.00028339,0.00085017,0.00028339
2,43.7726,1.50088,3.79305,1.31824,0.00557,0.55658,0.01172,0.00447,1.244,3.57761,1.14165,0.00173302,0.000577674,0.00173302,0.000577674,0.00173302,0.000577674,0.00173302,0.000577674
3,59.849,1.36589,3.139,1.17534,0.00997,0.81692,0.05331,0.0253,1.21602,3.33951,1.0766,0.00259805,0.000866017,0.00259805,0.000866017,0.00259805,0.000866017,0.00259805,0.000866017
4,74.632,1.37492,2.20252,1.19716,0.9107,0.12722,0.33914,0.19208,1.27407,2.71484,1.14891,0.00344525,0.00114842,0.00344525,0.00114842,0.00344525,0.00114842,0.00344525,0.00114842
5,89.0662,1.27741,1.84357,1.14375,0.38718,0.33128,0.36945,0.21538,1.32918,2.32799,1.14153,0.00427463,0.00142488,0.00427463,0.00142488,0.00427463,0.00142488,0.00427463,0.00142488
6,104.541,1.27838,1.75466,1.09326,0.45046,0.56838,0.44668,0.26668,1.22836,1.76088,1.1013,0.00475345,0.00158448,0.00475345,0.00158448,0.00475345,0.00158448,0.00475345,0.00158448
7,121.428,1.22136,1.60787,1.08013,0.51177,0.5312,0.51151,0.31442,1.16809,1.54523,1.07246,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798
8,135.559,1.15749,1.49904,1.0638,0.47732,0.61533,0.55348,0.34384,1.17948,1.45141,1.0595,0.00465443,0.00155148,0.00465443,0.00155148,0.00465443,0.00155148,0.00465443,0.00155148
9,152.103,1.15072,1.43187,1.03658,0.56401,0.61948,0.6074,0.39048,1.15594,1.39337,1.0582,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497
10,166.962,1.12809,1.365,1.04045,0.76627,0.62237,0.71778,0.47897,1.12044,1.35196,1.05996,0.00455541,0.00151847,0.00455541,0.00151847,0.00455541,0.00151847,0.00455541,0.00151847
