epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,8.5453,0.5611,0.89967,1,0.29232,0.00163967,0.000546557,0.00163967,0.000546557,0.00163967,0.000546557,0.00163967,0.000546557
2,15.8366,0.25346,0.95987,1,0.13933,0.00327394,0.00109131,0.00327394,0.00109131,0.00327394,0.00109131,0.00327394,0.00109131
3,23.0469,0.15788,0.9699,1,0.11183,0.00487519,0.00162506,0.00487519,0.00162506,0.00487519,0.00162506,0.00487519,0.00162506
4,30.0011,0.13547,0.97659,1,0.06842,0.00485247,0.00161749,0.00485247,0.00161749,0.00485247,0.00161749,0.00485247,0.00161749
5,37.1561,0.15299,0.97324,1,0.07759,0.00480296,0.00160099,0.00480296,0.00160099,0.00480296,0.00160099,0.00480296,0.00160099
6,44.0067,0.12594,0.96656,1,0.08073,0.00475345,0.00158448,0.00475345,0.00158448,0.00475345,0.00158448,0.00475345,0.00158448
7,50.977,0.09899,0.97659,1,0.12219,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798
8,57.9704,0.0961,0.9699,1,0.07913,0.00465443,0.00155148,0.00465443,0.00155148,0.00465443,0.00155148,0.00465443,0.00155148
9,64.8038,0.08944,0.97993,1,0.08122,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497
10,71.6497,0.07572,0.9699,1,0.07819,0.00455541,0.00151847,0.00455541,0.00151847,0.00455541,0.00151847,0.00455541,0.00151847
11,78.7068,0.07818,0.96656,1,0.11505,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197
12,85.7603,0.05743,0.97659,1,0.07179,0.00445639,0.00148546,0.00445639,0.00148546,0.00445639,0.00148546,0.00445639,0.00148546
13,92.917,0.05457,0.97324,1,0.07544,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896
14,99.6173,0.04556,0.9699,1,0.06717,0.00435737,0.00145246,0.00435737,0.00145246,0.00435737,0.00145246,0.00435737,0.00145246
15,106.651,0.0531,0.9699,1,0.07219,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595
16,113.607,0.0588,0.9699,1,0.08288,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945
17,120.75,0.0534,0.95987,1,0.07922,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295
18,127.615,0.0509,0.97659,1,0.08342,0.00415933,0.00138644,0.00415933,0.00138644,0.00415933,0.00138644,0.00415933,0.00138644
19,134.599,0.05499,0.9699,1,0.08839,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994
20,141.498,0.03687,0.97324,1,0.07139,0.00406031,0.00135344,0.00406031,0.00135344,0.00406031,0.00135344,0.00406031,0.00135344
21,148.574,0.03987,0.97659,1,0.09849,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693
22,155.637,0.0396,0.97659,1,0.10466,0.00396129,0.00132043,0.00396129,0.00132043,0.00396129,0.00132043,0.00396129,0.00132043
23,162.808,0.03914,0.97993,1,0.10691,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393
24,169.817,0.04076,0.96656,1,0.12216,0.00386227,0.00128742,0.00386227,0.00128742,0.00386227,0.00128742,0.00386227,0.00128742
25,176.761,0.0332,0.96656,1,0.09801,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092
26,183.894,0.03798,0.97324,1,0.10632,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442
27,190.948,0.04795,0.96656,1,0.10948,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791
28,197.989,0.04805,0.96321,1,0.15722,0.00366423,0.00122141,0.00366423,0.00122141,0.00366423,0.00122141,0.00366423,0.00122141
29,204.859,0.03412,0.96656,1,0.114,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491
30,212.146,0.02334,0.9699,1,0.09729,0.00356521,0.0011884,0.00356521,0.0011884,0.00356521,0.0011884,0.00356521,0.0011884
31,219.292,0.02799,0.97324,1,0.08358,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719
32,226.173,0.03146,0.97324,1,0.08904,0.00346619,0.0011554,0.00346619,0.0011554,0.00346619,0.0011554,0.00346619,0.0011554
33,233.281,0.03107,0.96321,1,0.10278,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889
34,240.551,0.03184,0.97324,1,0.09768,0.00336717,0.00112239,0.00336717,0.00112239,0.00336717,0.00112239,0.00336717,0.00112239
35,247.901,0.02199,0.97993,1,0.06748,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589
36,254.787,0.02917,0.98662,1,0.06548,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938
37,261.862,0.04645,0.97659,1,0.08641,0.00321864,0.00107288,0.00321864,0.00107288,0.00321864,0.00107288,0.00321864,0.00107288
38,269.067,0.02292,0.97659,1,0.0833,0.00316913,0.00105638,0.00316913,0.00105638,0.00316913,0.00105638,0.00316913,0.00105638
39,276.518,0.02578,0.97324,1,0.06753,0.00311962,0.00103987,0.00311962,0.00103987,0.00311962,0.00103987,0.00311962,0.00103987
40,283.358,0.02782,0.97324,1,0.07441,0.00307011,0.00102337,0.00307011,0.00102337,0.00307011,0.00102337,0.00307011,0.00102337
41,290.475,0.02613,0.97993,1,0.09399,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687
42,297.515,0.02123,0.96656,1,0.08615,0.00297109,0.000990365,0.00297109,0.000990365,0.00297109,0.000990365,0.00297109,0.000990365
43,304.796,0.02179,0.96321,1,0.1067,0.00292158,0.000973861,0.00292158,0.000973861,0.00292158,0.000973861,0.00292158,0.000973861
44,311.911,0.02597,0.96656,1,0.16746,0.00287207,0.000957358,0.00287207,0.000957358,0.00287207,0.000957358,0.00287207,0.000957358
