epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,23.8217,1.90415,4.17435,1.65473,0.00447,0.41882,0.00389,0.0018,1.3776,3.77509,1.33975,0.00085017,0.00028339,0.00085017,0.00028339,0.00085017,0.00028339,0.00085017,0.00028339
2,37.0967,1.47713,3.8058,1.3024,0.00774,0.67144,0.01222,0.00516,1.25624,3.6006,1.14687,0.00173302,0.000577674,0.00173302,0.000577674,0.00173302,0.000577674,0.00173302,0.000577674
3,51.7303,1.36552,3.22726,1.16685,0.00891,0.75093,0.03814,0.01873,1.20341,3.33523,1.05458,0.00259805,0.000866017,0.00259805,0.000866017,0.00259805,0.000866017,0.00259805,0.000866017
4,67.6064,1.39197,2.29933,1.18957,0.41309,0.22122,0.34182,0.19329,1.37857,2.67562,1.16449,0.00344525,0.00114842,0.00344525,0.00114842,0.00344525,0.00114842,0.00344525,0.00114842
5,83.156,1.27043,1.81363,1.14395,0.36331,0.50592,0.37316,0.23324,1.32849,2.1214,1.11251,0.00427463,0.00142488,0.00427463,0.00142488,0.00427463,0.00142488,0.00427463,0.00142488
6,96.5635,1.26281,1.7107,1.07159,0.38205,0.57421,0.43422,0.27444,1.23259,1.7752,1.06051,0.00475345,0.00158448,0.00475345,0.00158448,0.00475345,0.00158448,0.00475345,0.00158448
7,110.975,1.21421,1.60201,1.06152,0.50843,0.60814,0.52512,0.33433,1.18484,1.61822,1.06296,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798
8,125.65,1.14316,1.50272,1.06505,0.59958,0.64286,0.62288,0.40199,1.16993,1.53259,1.06565,0.00465443,0.00155148,0.00465443,0.00155148,0.00465443,0.00155148,0.00465443,0.00155148
9,139.606,1.14534,1.42574,1.03833,0.63704,0.67277,0.67167,0.43827,1.15996,1.40178,1.06665,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497
10,151.822,1.12641,1.35362,1.04357,0.74314,0.69818,0.75811,0.49049,1.14568,1.26044,1.07383,0.00455541,0.00151847,0.00455541,0.00151847,0.00455541,0.00151847,0.00455541,0.00151847
