epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,7.70601,2.83901,4.24911,2.42037,0.00187,0.24194,0.00126,0.00042,2.45319,3.94274,2.23666,0.00102,0.00034,0.00102,0.00034,0.00102,0.00034,0.00102,0.00034
2,13.1611,2.47711,3.87245,2.09615,0.00417,0.53763,0.00409,0.00133,2.09056,3.71218,1.82517,0.00207921,0.00069307,0.00207921,0.00069307,0.00207921,0.00069307,0.00207921,0.00069307
3,19.1193,2.23505,3.04153,1.87552,0.00633,0.8172,0.01217,0.00434,1.91353,3.42134,1.60339,0.00311704,0.00103901,0.00311704,0.00103901,0.00311704,0.00103901,0.00311704,0.00103901
4,24.5251,2.10357,2.2876,1.78877,0.00721,0.93011,0.04393,0.0141,1.88473,3.1733,1.54567,0.00413348,0.00137783,0.00413348,0.00137783,0.00413348,0.00137783,0.00413348,0.00137783
5,29.4855,1.94211,2.03364,1.68215,1,0.07763,0.5182,0.16864,1.97534,2.91541,1.53984,0.00512854,0.00170951,0.00512854,0.00170951,0.00512854,0.00170951,0.00512854,0.00170951
6,34.8992,1.92545,1.87572,1.58983,0.71332,0.62366,0.70536,0.25511,1.9946,2.33675,1.53681,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901
7,39.8877,1.86611,1.76159,1.48685,0.71026,0.60627,0.63722,0.19991,2.24729,2.11165,1.64201,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
8,44.8069,1.75631,1.6822,1.45673,0.76559,0.70237,0.79509,0.32817,1.93661,1.73165,1.52463,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614
9,49.9257,1.80575,1.60331,1.45334,0.7631,0.76344,0.80898,0.35,1.89242,1.59747,1.52408,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
10,55.2103,1.77171,1.50326,1.43271,0.80425,0.78495,0.83707,0.35275,1.89977,1.63522,1.54966,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218
11,60.2009,1.68572,1.39725,1.3573,0.81115,0.80825,0.8582,0.37394,1.86833,1.42763,1.50542,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
12,64.9892,1.74295,1.41669,1.36136,0.80872,0.80108,0.85511,0.39246,1.81895,1.30619,1.47346,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822
