epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.54112,2.47162,4.20503,2.12813,0.00642,0.82796,0.02409,0.00637,2.03725,3.39758,1.43144,0.00034,0.00034,0.00034
2,11.3455,2.02997,2.69727,1.57213,0.00754,0.97312,0.36497,0.09655,1.87312,3.23867,1.48971,0.00069307,0.00069307,0.00069307
3,16.0023,1.93782,2.27203,1.55164,0.00746,0.96237,0.20645,0.06219,2.19029,3.12676,1.62223,0.00103901,0.00103901,0.00103901
4,20.663,1.9574,2.18104,1.56643,0.93878,0.16492,0.62809,0.25731,1.89642,2.707,1.5049,0.00137783,0.00137783,0.00137783
5,25.2104,1.95041,2.0775,1.59254,0.69039,0.52151,0.59957,0.25265,1.86892,2.30001,1.59686,0.00170951,0.00170951,0.00170951
6,30.2719,1.88551,1.83435,1.55216,0.45618,0.32472,0.36253,0.13334,2.0431,2.63385,1.76254,0.001901,0.001901,0.001901
7,35.0415,1.84683,1.77118,1.53456,0.23886,0.26344,0.1897,0.06053,2.13904,2.84765,1.69538,0.0018812,0.0018812,0.0018812
8,39.6295,1.83409,1.62489,1.49565,0.72401,0.63978,0.71665,0.30519,1.96808,1.73642,1.65676,0.0018614,0.0018614,0.0018614
9,44.667,1.87843,1.64005,1.50379,0.71668,0.68,0.71324,0.29841,2.03437,1.58574,1.66666,0.0018416,0.0018416,0.0018416
10,49.4407,1.8318,1.52267,1.48208,0.6466,0.74762,0.69869,0.29042,1.92081,1.8935,1.63986,0.0018218,0.0018218,0.0018218
11,53.969,1.80762,1.47249,1.47483,0.62512,0.74411,0.70501,0.30562,1.8672,1.94009,1.61889,0.001802,0.001802,0.001802
12,58.6197,1.81696,1.39665,1.45754,0.75034,0.72714,0.78509,0.32794,1.94309,1.56591,1.59594,0.0017822,0.0017822,0.0017822
13,63.2845,1.79649,1.32649,1.43633,0.74784,0.75806,0.81983,0.32579,1.84985,1.41681,1.52695,0.0017624,0.0017624,0.0017624
14,68.4165,1.75511,1.27487,1.45211,0.7701,0.73839,0.8136,0.36471,1.86326,1.4081,1.61132,0.0017426,0.0017426,0.0017426
15,73.1742,1.72526,1.22252,1.4198,0.81327,0.69355,0.81414,0.31422,1.99259,1.38921,1.68404,0.0017228,0.0017228,0.0017228
16,77.7209,1.7317,1.2163,1.42555,0.75961,0.67955,0.77674,0.31985,1.97178,1.60796,1.63563,0.001703,0.001703,0.001703
17,82.623,1.68722,1.16796,1.37845,0.77202,0.74194,0.79604,0.34011,1.89325,1.52101,1.58419,0.0016832,0.0016832,0.0016832
18,87.4192,1.70725,1.20648,1.41233,0.80414,0.72845,0.83111,0.38715,1.8948,1.20657,1.5475,0.0016634,0.0016634,0.0016634
19,91.8516,1.71969,1.12458,1.42638,0.84247,0.72043,0.83477,0.37696,1.93406,1.20026,1.58879,0.0016436,0.0016436,0.0016436
20,96.8887,1.70614,1.09251,1.41291,0.86342,0.67976,0.82837,0.37417,1.90009,1.17222,1.56717,0.0016238,0.0016238,0.0016238
21,101.607,1.65192,1.06954,1.3975,0.79488,0.78495,0.84466,0.39147,1.8607,1.21238,1.56651,0.001604,0.001604,0.001604
22,106.476,1.66171,1.03652,1.40583,0.7734,0.74194,0.79734,0.35361,1.96997,1.22953,1.58977,0.0015842,0.0015842,0.0015842
23,110.897,1.66078,1.05452,1.38428,0.80829,0.77419,0.83843,0.36812,1.92103,1.25954,1.57382,0.0015644,0.0015644,0.0015644
24,115.869,1.62868,1.03942,1.37842,0.79,0.72811,0.81816,0.37895,1.90897,1.13457,1.55321,0.0015446,0.0015446,0.0015446
25,120.114,1.63885,1.00009,1.37326,0.79434,0.70602,0.80799,0.37602,1.90335,1.09383,1.56241,0.0015248,0.0015248,0.0015248
26,125.147,1.60985,1.00738,1.35283,0.77377,0.79073,0.84572,0.3639,1.90327,1.24501,1.58537,0.001505,0.001505,0.001505
27,129.628,1.64709,0.99856,1.36227,0.84625,0.75269,0.8512,0.38398,1.94603,1.05306,1.57837,0.0014852,0.0014852,0.0014852
28,134.648,1.643,0.9911,1.35452,0.89722,0.72043,0.86824,0.39631,1.85277,1.05585,1.51976,0.0014654,0.0014654,0.0014654
29,139.133,1.59425,0.98134,1.32488,0.73581,0.75269,0.82414,0.35175,1.94521,1.111,1.60198,0.0014456,0.0014456,0.0014456
30,143.947,1.58884,0.93909,1.3521,0.81767,0.74743,0.84147,0.36328,1.93766,1.17796,1.57999,0.0014258,0.0014258,0.0014258
31,148.382,1.57029,0.9193,1.32453,0.83419,0.73118,0.8343,0.38898,1.87595,1.08552,1.5343,0.001406,0.001406,0.001406
32,153.162,1.52951,0.89916,1.29647,0.81857,0.75806,0.84596,0.40431,1.89196,1.02556,1.55693,0.0013862,0.0013862,0.0013862
33,157.628,1.55859,0.89156,1.31012,0.74654,0.74194,0.78974,0.35686,1.91825,1.07344,1.59952,0.0013664,0.0013664,0.0013664
34,161.961,1.53737,0.89434,1.31239,0.83721,0.80183,0.87471,0.39797,1.9324,1.01354,1.58318,0.0013466,0.0013466,0.0013466
35,166.395,1.54844,0.88576,1.31305,0.8309,0.72043,0.83273,0.37401,1.93425,1.06261,1.56142,0.0013268,0.0013268,0.0013268
36,171.259,1.53819,0.87561,1.29837,0.81379,0.77538,0.82603,0.38341,1.93598,1.01608,1.58848,0.001307,0.001307,0.001307
37,176.036,1.51781,0.83236,1.28879,0.80238,0.79032,0.85565,0.40331,1.88868,0.9805,1.53959,0.0012872,0.0012872,0.0012872
38,180.642,1.51796,0.84711,1.28225,0.77827,0.7926,0.83974,0.38933,1.94848,1.03129,1.53589,0.0012674,0.0012674,0.0012674
39,185.111,1.52315,0.87584,1.27997,0.80888,0.80645,0.85824,0.40068,1.91082,0.97751,1.52537,0.0012476,0.0012476,0.0012476
40,189.75,1.48737,0.82788,1.26734,0.79177,0.77683,0.85814,0.39924,1.87359,1.01021,1.50898,0.0012278,0.0012278,0.0012278
41,194.289,1.4686,0.8106,1.26244,0.79521,0.84946,0.88926,0.4062,1.94328,0.93992,1.55806,0.001208,0.001208,0.001208
42,199.342,1.46565,0.79131,1.25513,0.80287,0.82258,0.84181,0.40855,1.89565,0.96165,1.52655,0.0011882,0.0011882,0.0011882
43,203.93,1.45556,0.77851,1.24531,0.78388,0.84409,0.84757,0.3889,1.91955,0.94786,1.53982,0.0011684,0.0011684,0.0011684
44,208.764,1.45449,0.78049,1.24483,0.81461,0.7957,0.84383,0.3978,1.96398,0.97011,1.55416,0.0011486,0.0011486,0.0011486
45,213.436,1.45009,0.77826,1.24033,0.77732,0.82577,0.83836,0.39531,1.99273,1.0251,1.59205,0.0011288,0.0011288,0.0011288
46,218.275,1.46065,0.77976,1.26156,0.82568,0.77957,0.86706,0.41998,1.89562,0.94694,1.52745,0.001109,0.001109,0.001109
