epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.39897,2.79384,4.75114,2.46801,0,0,0,0,2.8048,3.99525,2.56728,0.00034,0.00034,0.00034
2,9.96551,2.20102,3.41245,1.69928,0.00033,0.04301,0.00018,3e-05,2.75362,3.95542,2.41168,0.00069307,0.00069307,0.00069307
3,14.0905,2.21365,2.89612,1.79036,0.00275,0.35484,0.00242,0.00056,2.75803,3.90211,2.32167,0.00103901,0.00103901,0.00103901
4,18.1996,2.15609,2.59981,1.75862,0.00508,0.65591,0.0061,0.00142,2.83876,3.81117,2.24274,0.00137783,0.00137783,0.00137783
5,22.2302,2.17808,2.49243,1.82543,0.00367,0.47312,0.00605,0.00122,2.83731,3.90495,2.33864,0.00170951,0.00170951,0.00170951
6,26.4695,2.13149,2.3563,1.84188,0.00562,0.72581,0.01041,0.00247,2.72689,3.93025,2.18277,0.001901,0.001901,0.001901
7,30.575,2.08328,2.33482,1.81115,0.00525,0.67742,0.01122,0.00254,2.71353,3.73286,2.21228,0.0018812,0.0018812,0.0018812
8,34.5761,2.1343,2.257,1.73209,0.00642,0.82796,0.20743,0.06364,2.14222,3.19909,1.85081,0.0018614,0.0018614,0.0018614
9,38.5803,2.04771,2.03379,1.75094,0.01728,0.53226,0.36704,0.1427,2.07785,2.99608,1.72052,0.0018416,0.0018416,0.0018416
10,42.7444,2.03366,1.88397,1.70512,0.82654,0.25621,0.44123,0.15901,2.06256,2.68493,1.7339,0.0018218,0.0018218,0.0018218
11,46.8026,2.03423,1.86356,1.74784,0.68484,0.52151,0.57381,0.2188,2.07081,2.05442,1.7713,0.001802,0.001802,0.001802
12,50.8367,1.97753,1.81437,1.71693,0.6188,0.63441,0.62111,0.21921,2.08973,1.78277,1.76179,0.0017822,0.0017822,0.0017822
