epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.0062,2.42202,3.98106,2.11488,4e-05,0.00538,2e-05,0,2.94565,3.99928,2.73249,0.00034,0.00034,0.00034
2,19.9221,1.98839,2.70386,1.73664,0.00213,0.27419,0.00143,0.00036,2.57936,4.02013,2.39531,0.00069307,0.00069307,0.00069307
3,27.8776,1.92166,2.34374,1.609,0.88701,0.46429,0.66454,0.26158,1.9078,2.26901,1.64638,0.00103901,0.00103901,0.00103901
4,35.9584,1.95938,2.33012,1.72472,0.60276,0.58065,0.64814,0.28324,2.04151,1.88025,1.92036,0.00137783,0.00137783,0.00137783
5,43.5656,1.86709,2.06798,1.67456,0.65607,0.65638,0.68118,0.2754,2.02492,1.73108,1.83807,0.00170951,0.00170951,0.00170951
6,51.3506,1.83565,1.92096,1.62906,0.66261,0.67576,0.713,0.29411,1.96099,1.7591,1.82622,0.001901,0.001901,0.001901
7,58.9567,1.86724,1.80512,1.62605,0.71599,0.69123,0.77339,0.34815,1.86122,1.49849,1.70964,0.0018812,0.0018812,0.0018812
8,66.8391,1.85286,1.73461,1.60029,0.70881,0.64128,0.7051,0.30791,1.98214,1.81305,1.85821,0.0018614,0.0018614,0.0018614
9,74.5196,1.85167,1.61041,1.62475,0.80287,0.65591,0.78809,0.33994,1.91577,1.54244,1.76976,0.0018416,0.0018416,0.0018416
10,82.2718,1.80654,1.56951,1.56063,0.74143,0.7043,0.78065,0.35849,1.87135,1.43384,1.73599,0.0018218,0.0018218,0.0018218
11,89.9087,1.82113,1.50735,1.60257,0.77304,0.71419,0.79013,0.35154,1.87319,1.36265,1.72213,0.001802,0.001802,0.001802
12,97.6747,1.76757,1.35944,1.5407,0.79507,0.73005,0.80977,0.37117,1.82907,1.26545,1.6515,0.0017822,0.0017822,0.0017822
13,105.453,1.74417,1.33054,1.50555,0.79893,0.77419,0.82879,0.37347,1.90359,1.34803,1.72426,0.0017624,0.0017624,0.0017624
14,113.084,1.73427,1.28266,1.53606,0.86844,0.67432,0.83938,0.37691,1.94004,1.21791,1.68965,0.0017426,0.0017426,0.0017426
15,120.853,1.70628,1.27517,1.53254,0.73107,0.78495,0.81588,0.38741,1.86059,1.22212,1.71415,0.0017228,0.0017228,0.0017228
16,128.816,1.66209,1.2142,1.47951,0.84075,0.6828,0.8324,0.36819,1.89461,1.18594,1.74313,0.001703,0.001703,0.001703
17,136.49,1.73451,1.199,1.52093,0.67026,0.75407,0.78709,0.35103,1.96599,1.29784,1.74426,0.0016832,0.0016832,0.0016832
18,144.401,1.69481,1.16563,1.48654,0.85338,0.69892,0.81526,0.36793,1.95569,1.22923,1.70016,0.0016634,0.0016634,0.0016634
19,152.04,1.73704,1.15627,1.51593,0.81658,0.75806,0.8096,0.3705,1.86793,1.17568,1.70278,0.0016436,0.0016436,0.0016436
20,159.935,1.75421,1.20681,1.51752,0.80248,0.74731,0.8354,0.37684,1.92249,1.10341,1.7247,0.0016238,0.0016238,0.0016238
21,167.378,1.64805,1.12906,1.48716,0.79952,0.75269,0.83878,0.39677,1.89889,1.10963,1.74744,0.001604,0.001604,0.001604
22,175.188,1.63651,1.05762,1.47208,0.81313,0.77202,0.82784,0.37869,1.91314,1.18129,1.73857,0.0015842,0.0015842,0.0015842
