epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.36528,2.69376,4.52911,2.50061,0.00021,0.02688,0.00011,2e-05,2.87484,3.99814,2.66543,0.00034,0.00034,0.00034
2,10.8628,2.18289,3.08596,1.92604,0.00033,0.04301,0.00017,3e-05,2.80234,4.00254,2.56922,0.00069307,0.00069307,0.00069307
3,15.3671,2.03055,2.54847,1.80032,0,0,0,0,2.77517,4.01388,2.48227,0.00103901,0.00103901,0.00103901
4,19.9087,2.01209,2.41235,1.80975,0,0,0,0,2.72341,4.03901,2.40092,0.00137783,0.00137783,0.00137783
5,24.6009,2.00868,2.2222,1.77372,0,0,0,0,2.70791,4.05339,2.37761,0.00170951,0.00170951,0.00170951
6,29.4534,1.96541,2.15445,1.82854,0.00358,0.46237,0.00268,0.00071,2.73434,3.97944,2.35991,0.001901,0.001901,0.001901
7,34.0229,1.91862,2.00416,1.81188,0.0015,0.19355,0.0009,0.00031,2.17353,3.66129,1.85421,0.0018812,0.0018812,0.0018812
8,38.4168,1.95318,2.0612,1.73609,0.00721,0.93011,0.0264,0.00708,1.84089,3.29087,1.62091,0.0018614,0.0018614,0.0018614
9,42.945,1.92782,1.9338,1.73607,0.00717,0.92473,0.36718,0.16573,1.86971,2.95281,1.73551,0.0018416,0.0018416,0.0018416
10,47.5811,1.91577,1.78571,1.78085,0.85668,0.35353,0.61586,0.27672,1.90363,2.19595,1.75999,0.0018218,0.0018218,0.0018218
11,51.7771,1.88068,1.76138,1.74433,0.63945,0.16129,0.32019,0.13595,2.04329,2.73889,1.88863,0.001802,0.001802,0.001802
12,56.3145,1.85704,1.75558,1.75607,0.51292,0.39247,0.41996,0.15488,2.17333,2.02169,1.94857,0.0017822,0.0017822,0.0017822
13,60.5854,1.87796,1.60062,1.73929,0.6702,0.53763,0.61373,0.2536,2.07109,1.83457,1.93844,0.0017624,0.0017624,0.0017624
14,65.4896,1.87629,1.58713,1.7636,0.7129,0.60076,0.63378,0.28087,2.01546,1.54566,1.95115,0.0017426,0.0017426,0.0017426
15,70.069,1.85904,1.55674,1.72065,0.62698,0.5914,0.63023,0.23873,2.17173,1.58762,1.98383,0.0017228,0.0017228,0.0017228
16,74.3293,1.88971,1.55844,1.70465,0.60964,0.52688,0.55772,0.2084,2.22624,1.77571,1.9981,0.001703,0.001703,0.001703
17,79.0159,1.87387,1.62036,1.71029,0.35156,0.2536,0.26622,0.10962,2.14983,2.63585,1.927,0.0016832,0.0016832,0.0016832
18,83.7013,1.84255,1.58916,1.73185,0.48795,0.47849,0.4719,0.19989,2.01339,1.89567,1.85146,0.0016634,0.0016634,0.0016634
19,87.9656,1.85793,1.55322,1.72936,0.57845,0.51642,0.522,0.19444,2.14641,1.95962,1.94034,0.0016436,0.0016436,0.0016436
