epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.7899,2.48462,4.06297,2.09661,0,0,0,0,2.90618,4.0472,2.72632,0.00034,0.00034,0.00034
2,17.661,2.029,2.60626,1.63105,0.00146,0.18817,0.00097,0.00024,2.38233,4.07047,2.32556,0.00069307,0.00069307,0.00069307
3,24.8387,1.98411,2.30078,1.55361,0.80122,0.47677,0.60208,0.24007,1.92507,2.56716,1.51802,0.00103901,0.00103901,0.00103901
4,32.0185,1.96313,2.14951,1.59102,0.41175,0.44086,0.34191,0.08677,2.60668,2.30379,2.22359,0.00137783,0.00137783,0.00137783
5,38.9815,1.88589,1.99195,1.53867,0.65399,0.65054,0.6783,0.28439,1.97922,1.90278,1.64896,0.00170951,0.00170951,0.00170951
6,45.6946,1.92973,1.90952,1.53809,0.69304,0.65054,0.70093,0.31127,1.96113,1.67942,1.50001,0.001901,0.001901,0.001901
7,52.8254,1.85889,1.72627,1.44432,0.70758,0.75806,0.80547,0.3572,1.84937,1.77556,1.45234,0.0018812,0.0018812,0.0018812
8,59.5595,1.89547,1.72308,1.48231,0.6219,0.70968,0.68875,0.29075,1.98176,1.72838,1.66613,0.0018614,0.0018614,0.0018614
9,66.2274,1.86298,1.6446,1.49957,0.73162,0.66667,0.75598,0.33371,1.88353,1.47266,1.53561,0.0018416,0.0018416,0.0018416
10,73.1562,1.80051,1.54029,1.44054,0.78684,0.73656,0.81662,0.36553,1.91274,1.3263,1.49398,0.0018218,0.0018218,0.0018218
11,80.1027,1.79633,1.47284,1.43869,0.84257,0.6618,0.81352,0.32854,2.03489,1.38375,1.59814,0.001802,0.001802,0.001802
12,87.1559,1.73853,1.35106,1.40991,0.78804,0.73656,0.83402,0.37419,1.86262,1.28431,1.50687,0.0017822,0.0017822,0.0017822
13,94.2754,1.7654,1.30302,1.4001,0.80454,0.8172,0.87285,0.39362,1.86235,1.24234,1.52848,0.0017624,0.0017624,0.0017624
14,100.775,1.7591,1.24149,1.41698,0.84982,0.76057,0.85738,0.37191,1.90431,1.18459,1.50834,0.0017426,0.0017426,0.0017426
15,107.46,1.75598,1.28917,1.39944,0.79824,0.73656,0.83269,0.34848,1.94062,1.29585,1.54635,0.0017228,0.0017228,0.0017228
16,114.154,1.67766,1.23125,1.34557,0.73831,0.78875,0.82753,0.37901,1.95184,1.16102,1.48016,0.001703,0.001703,0.001703
17,121.305,1.76284,1.18619,1.3913,0.76863,0.74194,0.82246,0.36292,1.9483,1.24679,1.51306,0.0016832,0.0016832,0.0016832
18,128.382,1.71697,1.164,1.37539,0.89778,0.72581,0.86752,0.39698,1.88907,1.15401,1.48653,0.0016634,0.0016634,0.0016634
19,135.096,1.68707,1.14082,1.35938,0.86031,0.69892,0.80644,0.36518,1.87521,1.2618,1.53881,0.0016436,0.0016436,0.0016436
20,142.083,1.72985,1.15955,1.39019,0.80212,0.80645,0.83497,0.36107,1.89163,1.18748,1.54401,0.0016238,0.0016238,0.0016238
21,148.914,1.64667,1.11219,1.35039,0.81352,0.74731,0.83153,0.37933,1.88373,1.19469,1.49404,0.001604,0.001604,0.001604
22,155.829,1.66125,1.04777,1.32898,0.85702,0.76882,0.87683,0.39066,1.93596,1.04919,1.48243,0.0015842,0.0015842,0.0015842
23,162.467,1.6607,1.04488,1.32437,0.85631,0.7369,0.84831,0.374,1.90109,1.07132,1.49537,0.0015644,0.0015644,0.0015644
24,169.214,1.63617,1.02798,1.33865,0.73005,0.78495,0.82722,0.35151,1.99794,1.0733,1.59465,0.0015446,0.0015446,0.0015446
25,176.191,1.71553,1.02494,1.36813,0.79058,0.79032,0.84634,0.38205,1.95217,1.1053,1.51422,0.0015248,0.0015248,0.0015248
26,182.996,1.65116,1.03795,1.34618,0.82616,0.77957,0.87997,0.38469,1.88698,1.04008,1.52756,0.001505,0.001505,0.001505
27,189.981,1.61558,1.00774,1.3236,0.78085,0.80455,0.85278,0.3934,1.87564,1.05065,1.47832,0.0014852,0.0014852,0.0014852
28,196.705,1.65063,1.00704,1.33945,0.83933,0.77957,0.87338,0.3965,1.86331,1.0383,1.50399,0.0014654,0.0014654,0.0014654
29,203.579,1.58854,0.96275,1.29736,0.81698,0.77419,0.85826,0.35915,1.87745,1.18866,1.53716,0.0014456,0.0014456,0.0014456
30,210.675,1.61285,0.95999,1.33868,0.7624,0.81183,0.82988,0.3676,1.89972,1.1207,1.5743,0.0014258,0.0014258,0.0014258
31,217.493,1.54149,0.91247,1.28876,0.79454,0.79032,0.83956,0.3934,1.86328,1.00415,1.51147,0.001406,0.001406,0.001406
32,224.376,1.49746,0.87525,1.25251,0.79673,0.79032,0.86357,0.3853,1.96117,0.95021,1.51228,0.0013862,0.0013862,0.0013862
33,231.15,1.57081,0.88617,1.28063,0.79613,0.80108,0.86168,0.38099,1.94036,0.98886,1.52961,0.0013664,0.0013664,0.0013664
34,238.009,1.53392,0.89331,1.28696,0.83827,0.70968,0.82891,0.37447,1.95213,1.04961,1.54043,0.0013466,0.0013466,0.0013466
35,244.777,1.55797,0.90426,1.30059,0.79729,0.73118,0.78781,0.35557,1.98517,1.14557,1.51723,0.0013268,0.0013268,0.0013268
36,251.527,1.53994,0.87712,1.25471,0.86754,0.71505,0.85494,0.39537,1.93834,0.97992,1.47946,0.001307,0.001307,0.001307
37,258.387,1.54306,0.86043,1.27252,0.78709,0.82258,0.8542,0.38359,1.98713,1.01419,1.58249,0.0012872,0.0012872,0.0012872
38,265.165,1.56666,0.85886,1.27905,0.83135,0.77957,0.83996,0.37947,1.91941,1.01655,1.49969,0.0012674,0.0012674,0.0012674
39,272.031,1.554,0.85438,1.26821,0.85295,0.76344,0.87611,0.40965,1.94538,0.95234,1.50146,0.0012476,0.0012476,0.0012476
40,278.894,1.5107,0.80983,1.26029,0.7995,0.79323,0.85649,0.38653,1.97011,0.97194,1.52921,0.0012278,0.0012278,0.0012278
41,285.773,1.53166,0.81139,1.2524,0.80622,0.7957,0.84437,0.35446,1.99631,0.98005,1.6157,0.001208,0.001208,0.001208
42,292.913,1.46473,0.79335,1.22481,0.79478,0.81203,0.87289,0.3715,2.01095,0.9393,1.62281,0.0011882,0.0011882,0.0011882
43,299.7,1.48193,0.76295,1.24344,0.84286,0.80108,0.85193,0.37512,2.04057,1.01349,1.59631,0.0011684,0.0011684,0.0011684
44,306.538,1.51054,0.79842,1.25212,0.80044,0.81944,0.86784,0.38606,1.98956,0.97804,1.58926,0.0011486,0.0011486,0.0011486
45,313.374,1.4197,0.78726,1.20709,0.84526,0.76344,0.84134,0.39506,1.97184,0.96489,1.55655,0.0011288,0.0011288,0.0011288
46,320.381,1.4426,0.77948,1.22024,0.75565,0.82258,0.84154,0.38419,2.00672,0.99509,1.59995,0.001109,0.001109,0.001109
47,327.386,1.42669,0.74903,1.22647,0.79867,0.84409,0.86854,0.3952,1.99257,0.95269,1.60897,0.0010892,0.0010892,0.0010892
48,334.217,1.43398,0.76615,1.21174,0.83353,0.78066,0.85837,0.39421,1.95717,0.98186,1.5319,0.0010694,0.0010694,0.0010694
49,341.163,1.4341,0.7806,1.21767,0.80627,0.79032,0.84613,0.37932,1.93937,1.00707,1.52163,0.0010496,0.0010496,0.0010496
50,347.902,1.42287,0.75652,1.21627,0.81518,0.80624,0.86471,0.39636,1.95978,0.90985,1.55805,0.0010298,0.0010298,0.0010298
51,354.858,1.4099,0.74954,1.19416,0.87492,0.75214,0.88585,0.41178,1.91335,0.92939,1.49936,0.00101,0.00101,0.00101
52,361.687,1.38676,0.73061,1.20167,0.82348,0.83333,0.86438,0.38069,1.95,0.92749,1.56748,0.0009902,0.0009902,0.0009902
53,368.404,1.41117,0.72435,1.19389,0.76099,0.82796,0.81307,0.3453,2.07107,0.97324,1.71244,0.0009704,0.0009704,0.0009704
54,375.323,1.39236,0.75425,1.18678,0.84126,0.74079,0.84718,0.38962,1.97363,0.96225,1.58241,0.0009506,0.0009506,0.0009506
55,382.164,1.37939,0.7347,1.18971,0.81611,0.81183,0.85502,0.38716,1.99461,0.93675,1.61206,0.0009308,0.0009308,0.0009308
56,389.215,1.36904,0.69668,1.18514,0.84089,0.7957,0.84785,0.39417,2.00561,0.91732,1.62412,0.000911,0.000911,0.000911
57,396.099,1.35856,0.7056,1.17423,0.81889,0.80108,0.85041,0.38798,1.98165,0.95293,1.57348,0.0008912,0.0008912,0.0008912
58,403.003,1.34347,0.69711,1.15666,0.84642,0.77419,0.85167,0.38489,1.97485,0.95715,1.62496,0.0008714,0.0008714,0.0008714
59,409.548,1.34788,0.68542,1.16174,0.86995,0.75806,0.85591,0.39398,2.01265,0.91244,1.66409,0.0008516,0.0008516,0.0008516
